subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.7619047619047619,0.5833333333333334,0.5714285714285714,0.5833333333333334,0.693877551020408,0.2222222222222222
P02,0.5714285714285714,0.625,0.5333333333333333,0.625,0.5142857142857143,0.22222222222222232
P03,0.3888888888888889,0.5,0.28,0.5,0.2177777777777778,0.0
P04,0.9473684210526315,0.875,0.9124423963133641,0.875,0.9444579189910258,0.8256880733944953
P05,0.6666666666666666,0.75,0.6666666666666666,0.75,0.6666666666666666,0.4
P06,0.75,0.75,0.7442455242966752,0.75,0.7442455242966752,0.5
P07,0.7142857142857143,0.7857142857142857,0.7136363636363636,0.7857142857142857,0.7181818181818181,0.47058823529411764
P08,0.8,0.8,0.7916666666666667,0.8,0.7916666666666667,0.6
P09,0.6,0.7142857142857143,0.6,0.7142857142857143,0.6,0.31034482758620696
P10,0.7368421052631579,0.7277777777777779,0.7246376811594203,0.7277777777777779,0.7276887871853547,0.46327683615819215
P11,0.25,0.53125,0.23273657289002558,0.53125,0.16368286445012786,0.02597402597402587
P12,0.6842105263157895,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6842105263157895,0.3666666666666666
P13,0.6428571428571429,0.6428571428571428,0.5906432748538011,0.6428571428571428,0.5906432748538012,0.2857142857142857
P14,0.42105263157894735,0.5,0.2962962962962963,0.5,0.24951267056530213,0.0
P15,0.95,0.9375,0.9466666666666667,0.9375,0.9493333333333333,0.8936170212765957
P16,0.85,0.625,0.6571428571428571,0.625,0.8114285714285714,0.34782608695652173
P17,0.7142857142857143,0.7692307692307692,0.7136363636363636,0.7692307692307692,0.7103896103896103,0.47058823529411764
P18,0.65,0.6717171717171717,0.6419437340153453,0.6717171717171717,0.6365728900255754,0.326923076923077
P19,0.65,0.5119047619047619,0.4982078853046595,0.5119047619047619,0.6086021505376344,0.02777777777777768
P20,0.5238095238095238,0.5,0.34375,0.5,0.3601190476190476,0.0
P21,0.5,0.5833333333333334,0.45054945054945056,0.5833333333333334,0.4175824175824176,0.13793103448275867
P22,0.7619047619047619,0.47058823529411764,0.43243243243243246,0.47058823529411764,0.7001287001287002,-0.08247422680412386
P23,0.19047619047619047,0.5526315789473684,0.19047619047619047,0.5526315789473684,0.19047619047619047,0.021917808219177992
P24,0.5714285714285714,0.5727272727272728,0.5714285714285714,0.5727272727272728,0.5714285714285714,0.14479638009049778
P25,0.7619047619047619,0.6428571428571428,0.6464646464646464,0.6428571428571428,0.7138047138047138,0.34782608695652173
P26,0.36363636363636365,0.41964285714285715,0.35833333333333334,0.41964285714285715,0.3424242424242424,-0.13235294117647056
P27,0.36363636363636365,0.5,0.26666666666666666,0.5,0.19393939393939394,0.0
P28,0.4782608695652174,0.5,0.3235294117647059,0.5,0.309462915601023,0.0
