subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.6666666666666666,0.6666666666666666,0.6370370370370371,0.6666666666666666,0.6814814814814815,0.2898550724637682
P02,0.6666666666666666,0.7083333333333334,0.6541176470588235,0.7083333333333334,0.6447058823529412,0.3797468354430379
P03,0.3888888888888889,0.5,0.28,0.5,0.2177777777777778,0.0
P04,0.8421052631578947,0.9,0.8080808080808081,0.9,0.8548644338118022,0.6274509803921569
P05,1.0,1.0,1.0,1.0,1.0,1.0
P06,0.4,0.4,0.2857142857142857,0.4,0.2857142857142857,-0.19999999999999996
P07,0.6666666666666666,0.75,0.6666666666666666,0.75,0.6666666666666666,0.4
P08,0.8,0.8,0.7916666666666667,0.8,0.7916666666666667,0.6
P09,0.8,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.8,0.5238095238095238
P10,0.7368421052631579,0.7222222222222222,0.7076923076923077,0.7222222222222222,0.7125506072874493,0.4571428571428572
P11,0.75,0.84375,0.7150997150997151,0.84375,0.7749287749287749,0.46808510638297873
P12,0.42105263157894735,0.4111111111111111,0.39420289855072466,0.4111111111111111,0.40091533180778033,-0.1807909604519773
P13,0.5,0.5,0.3333333333333333,0.5,0.3333333333333333,0.0
P14,0.42105263157894735,0.5,0.2962962962962963,0.5,0.24951267056530213,0.0
P15,0.9,0.875,0.8901098901098901,0.875,0.8967032967032967,0.7826086956521738
P16,0.8,0.5,0.4444444444444444,0.5,0.711111111111111,0.0
P17,0.7619047619047619,0.8076923076923077,0.7619047619047619,0.8076923076923077,0.7619047619047619,0.5493562231759657
P18,0.5,0.5353535353535354,0.45054945054945056,0.5353535353535354,0.434065934065934,0.06542056074766345
P19,0.3,0.5,0.23076923076923078,0.5,0.13846153846153847,0.0
P20,0.47619047619047616,0.45454545454545453,0.3225806451612903,0.45454545454545453,0.3379416282642089,-0.09478672985782
P21,0.6,0.6458333333333334,0.595959595959596,0.6458333333333334,0.5878787878787879,0.2592592592592593
P22,0.42857142857142855,0.2647058823529412,0.3,0.2647058823529412,0.48571428571428565,-0.34042553191489366
P23,0.6666666666666666,0.8157894736842105,0.5689149560117301,0.8157894736842105,0.7350928641251221,0.24615384615384606
P24,0.7142857142857143,0.7181818181818183,0.7136363636363636,0.7181818181818183,0.712987012987013,0.43243243243243246
P25,0.8095238095238095,0.75,0.7666666666666666,0.75,0.7999999999999998,0.5384615384615384
P26,0.3181818181818182,0.33035714285714285,0.3167701863354037,0.33035714285714285,0.3252399774138905,-0.29921259842519676
P27,0.36363636363636365,0.5,0.26666666666666666,0.5,0.19393939393939394,0.0
P28,0.7391304347826086,0.7462121212121212,0.7346153846153847,0.7462121212121212,0.7331103678929765,0.4850746268656716
