subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.8095238095238095,0.6666666666666666,0.6911764705882353,0.6666666666666666,0.7731092436974789,0.41666666666666674
P02,0.42857142857142855,0.4305555555555556,0.42727272727272725,0.4305555555555556,0.4311688311688312,-0.1351351351351351
P03,0.3888888888888889,0.5,0.28,0.5,0.2177777777777778,0.0
P04,0.9473684210526315,0.875,0.9124423963133641,0.875,0.9444579189910258,0.8256880733944953
P05,0.7222222222222222,0.7916666666666667,0.7213622291021672,0.7916666666666667,0.7265221878224973,0.48275862068965514
P06,0.75,0.75,0.7442455242966752,0.75,0.7442455242966752,0.5
P07,0.7619047619047619,0.8214285714285714,0.7597254004576659,0.8214285714285714,0.7673531655225019,0.5454545454545454
P08,0.75,0.75,0.7333333333333334,0.75,0.7333333333333333,0.5
P09,0.5,0.6428571428571428,0.4949494949494949,0.6428571428571428,0.47474747474747475,0.19354838709677413
P10,0.7368421052631579,0.7277777777777779,0.7246376811594203,0.7277777777777779,0.7276887871853547,0.46327683615819215
P11,0.2,0.5,0.16666666666666666,0.5,0.06666666666666667,0.0
P12,0.631578947368421,0.6222222222222222,0.6144927536231883,0.6222222222222222,0.6187643020594965,0.24858757062146897
P13,0.5714285714285714,0.5714285714285714,0.475,0.5714285714285714,0.475,0.1428571428571429
P14,0.5263157894736842,0.5909090909090909,0.47384615384615386,0.5909090909090909,0.4476113360323886,0.1576354679802957
P15,0.9,0.8958333333333333,0.8958333333333333,0.8958333333333333,0.9,0.7916666666666666
P16,0.85,0.625,0.6571428571428571,0.625,0.8114285714285714,0.34782608695652173
P17,0.6190476190476191,0.6923076923076923,0.6111111111111112,0.6923076923076923,0.5978835978835979,0.32258064516129037
P18,0.6,0.6262626262626263,0.5833333333333333,0.6262626262626263,0.575,0.23809523809523814
P19,0.7,0.5476190476190477,0.53125,0.5476190476190477,0.64375,0.11764705882352955
P20,0.5714285714285714,0.55,0.4457478005865103,0.55,0.4583158776707164,0.10426540284360186
P21,0.5,0.5833333333333334,0.45054945054945056,0.5833333333333334,0.4175824175824176,0.13793103448275867
P22,0.7619047619047619,0.47058823529411764,0.43243243243243246,0.47058823529411764,0.7001287001287002,-0.08247422680412386
P23,0.14285714285714285,0.5263157894736842,0.14090909090909093,0.5263157894736842,0.1077922077922078,0.010471204188481686
P24,0.7142857142857143,0.7136363636363636,0.7136363636363636,0.7136363636363636,0.7142857142857143,0.42727272727272725
P25,0.7142857142857143,0.5714285714285714,0.5367647058823529,0.5714285714285714,0.6323529411764706,0.18181818181818188
P26,0.45454545454545453,0.5714285714285714,0.4107142857142857,0.5714285714285714,0.36688311688311687,0.108108108108108
P27,0.36363636363636365,0.5,0.26666666666666666,0.5,0.19393939393939394,0.0
P28,0.4782608695652174,0.5,0.3235294117647059,0.5,0.309462915601023,0.0
