subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.6666666666666666,0.5666666666666667,0.5689149560117301,0.5666666666666667,0.656891495601173,0.14035087719298245
P02,0.6190476190476191,0.6666666666666666,0.5961538461538461,0.6666666666666666,0.5824175824175823,0.29999999999999993
P03,0.3888888888888889,0.5,0.28,0.5,0.2177777777777778,0.0
P04,0.5263157894736842,0.7,0.5210084033613445,0.7,0.5501990269792127,0.21917808219178092
P05,0.8333333333333334,0.875,0.8285714285714285,0.875,0.8380952380952381,0.6666666666666667
P06,0.65,0.6499999999999999,0.6491228070175439,0.6499999999999999,0.6491228070175439,0.30000000000000004
P07,0.9047619047619048,0.9285714285714286,0.8990384615384616,0.9285714285714286,0.907051282051282,0.8
P08,0.75,0.75,0.7333333333333334,0.75,0.7333333333333333,0.5
P09,0.95,0.9166666666666667,0.9373040752351097,0.9166666666666667,0.94858934169279,0.875
P10,0.7894736842105263,0.7833333333333333,0.7840909090909092,0.7833333333333333,0.7858851674641149,0.5730337078651686
P11,0.3,0.5625,0.29292929292929293,0.5625,0.2505050505050505,0.05405405405405406
P12,0.5263157894736842,0.5444444444444444,0.47384615384615386,0.5444444444444444,0.4651012145748988,0.0855614973262031
P13,0.7857142857142857,0.7857142857142857,0.7754010695187166,0.7857142857142857,0.7754010695187166,0.5714285714285714
P14,0.7894736842105263,0.8181818181818181,0.788888888888889,0.8181818181818181,0.7871345029239766,0.5957446808510638
P15,0.9,0.875,0.8901098901098901,0.875,0.8967032967032967,0.7826086956521738
P16,0.8,0.5,0.4444444444444444,0.5,0.711111111111111,0.0
P17,0.6190476190476191,0.5961538461538461,0.5961538461538461,0.5961538461538461,0.6190476190476191,0.1923076923076923
P18,0.5,0.48484848484848486,0.4791666666666667,0.48484848484848486,0.48958333333333337,-0.030927835051546504
P19,0.35,0.5357142857142857,0.30666666666666664,0.5357142857142857,0.2373333333333333,0.044117647058823595
P20,0.47619047619047616,0.45454545454545453,0.3225806451612903,0.45454545454545453,0.3379416282642089,-0.09478672985782
P21,0.5,0.5833333333333334,0.45054945054945056,0.5833333333333334,0.4175824175824176,0.13793103448275867
P22,0.8095238095238095,0.5,0.4473684210526316,0.5,0.7243107769423559,0.0
P23,0.09523809523809523,0.5,0.08695652173913043,0.5,0.016563146997929608,0.0
P24,0.6666666666666666,0.6636363636363636,0.6636155606407322,0.6636363636363636,0.6651411136536994,0.3287671232876712
P25,0.7142857142857143,0.5714285714285714,0.5367647058823529,0.5714285714285714,0.6323529411764706,0.18181818181818188
P26,0.36363636363636365,0.5,0.26666666666666666,0.5,0.19393939393939394,0.0
P27,0.36363636363636365,0.5,0.26666666666666666,0.5,0.19393939393939394,0.0
P28,0.6521739130434783,0.6553030303030303,0.6515151515151515,0.6553030303030303,0.6508563899868247,0.30827067669172936
