subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.5238095238095238,0.4666666666666667,0.4642857142857143,0.4666666666666667,0.5408163265306123,-0.06060606060606055
P02,0.6190476190476191,0.6666666666666666,0.5961538461538461,0.6666666666666666,0.5824175824175823,0.29999999999999993
P03,0.3888888888888889,0.5,0.28,0.5,0.2177777777777778,0.0
P04,0.8421052631578947,0.625,0.6545454545454545,0.625,0.8019138755980861,0.34482758620689646
P05,0.7222222222222222,0.7916666666666667,0.7213622291021672,0.7916666666666667,0.7265221878224973,0.48275862068965514
P06,0.4,0.4,0.375,0.4,0.375,-0.19999999999999996
P07,0.9523809523809523,0.9642857142857143,0.9481481481481482,0.9642857142857143,0.9530864197530863,0.896551724137931
P08,0.65,0.65,0.6011396011396011,0.65,0.6011396011396011,0.30000000000000004
P09,0.9,0.8333333333333333,0.8666666666666667,0.8333333333333333,0.8933333333333333,0.736842105263158
P10,0.8947368421052632,0.8888888888888888,0.8920454545454546,0.8888888888888888,0.8929425837320574,0.7865168539325843
P11,0.55,0.71875,0.5396419437340154,0.71875,0.581074168797954,0.23728813559322037
P12,0.3684210526315789,0.37777777777777777,0.3522727272727273,0.37777777777777777,0.34688995215311,-0.23913043478260865
P13,0.7857142857142857,0.7857142857142857,0.7754010695187166,0.7857142857142857,0.7754010695187166,0.5714285714285714
P14,0.5263157894736842,0.5909090909090909,0.47384615384615386,0.5909090909090909,0.4476113360323886,0.1576354679802957
P15,0.9,0.875,0.8901098901098901,0.875,0.8967032967032967,0.7826086956521738
P16,0.8,0.5,0.4444444444444444,0.5,0.711111111111111,0.0
P17,0.8571428571428571,0.8846153846153846,0.8558352402745995,0.8846153846153846,0.8591042824452435,0.7174887892376681
P18,0.7,0.7070707070707071,0.7,0.7070707070707071,0.7,0.40594059405940597
P19,0.3,0.5,0.23076923076923078,0.5,0.13846153846153847,0.0
P20,0.6666666666666666,0.6545454545454545,0.6370370370370371,0.6545454545454545,0.6419753086419753,0.3162790697674418
P21,0.4,0.3541666666666667,0.34065934065934067,0.3541666666666667,0.3802197802197802,-0.30434782608695654
P22,0.23809523809523808,0.14705882352941177,0.19230769230769232,0.14705882352941177,0.3113553113553114,-0.40000000000000013
P23,0.38095238095238093,0.4342105263157895,0.3259259259259259,0.4342105263157895,0.4818342151675485,-0.03802281368821281
P24,0.5714285714285714,0.5818181818181818,0.5552941176470588,0.5818181818181818,0.5512605042016807,0.15999999999999992
P25,0.6666666666666666,0.5,0.4,0.5,0.5333333333333334,0.0
P26,0.5,0.5267857142857143,0.4989648033126294,0.5267857142857143,0.505175983436853,0.047244094488189115
P27,0.5,0.6071428571428571,0.47276688453159044,0.6071428571428571,0.4400871459694989,0.16551724137931045
P28,0.6086956521739131,0.6212121212121212,0.5801217038539555,0.6212121212121212,0.5753593791339624,0.23616236162361637
