subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.7619047619047619,0.5833333333333334,0.5714285714285714,0.5833333333333334,0.693877551020408,0.2222222222222222
P02,0.47619047619047616,0.5416666666666666,0.38726790450928383,0.5416666666666666,0.3539219401288367,0.07228915662650603
P03,0.3888888888888889,0.5,0.28,0.5,0.2177777777777778,0.0
P04,0.47368421052631576,0.575,0.4602272727272727,0.575,0.5095693779904306,0.08653846153846145
P05,0.8333333333333334,0.875,0.8285714285714285,0.875,0.8380952380952381,0.6666666666666667
P06,0.45,0.45,0.3103448275862069,0.45,0.3103448275862069,-0.10000000000000009
P07,1.0,1.0,1.0,1.0,1.0,1.0
P08,0.8,0.8,0.7916666666666667,0.8,0.7916666666666667,0.6
P09,0.7,0.5,0.4117647058823529,0.5,0.5764705882352941,0.0
P10,0.7894736842105263,0.788888888888889,0.788888888888889,0.788888888888889,0.7894736842105263,0.5777777777777777
P11,0.6,0.75,0.5833333333333333,0.75,0.6333333333333333,0.2857142857142857
P12,0.47368421052631576,0.48888888888888893,0.43452380952380953,0.48888888888888893,0.4266917293233083,-0.021505376344086002
P13,0.5714285714285714,0.5714285714285714,0.475,0.5714285714285714,0.475,0.1428571428571429
P14,0.631578947368421,0.6818181818181819,0.6144927536231883,0.6818181818181819,0.6016781083142639,0.3248730964467005
P15,0.9,0.875,0.8901098901098901,0.875,0.8967032967032967,0.7826086956521738
P16,0.8,0.5,0.4444444444444444,0.5,0.711111111111111,0.0
P17,0.8095238095238095,0.8461538461538461,0.8090909090909091,0.8461538461538461,0.8112554112554113,0.631578947368421
P18,0.75,0.7424242424242424,0.7442455242966752,0.7424242424242424,0.7480818414322251,0.4897959183673469
P19,0.3,0.5,0.23076923076923078,0.5,0.13846153846153847,0.0
P20,0.5714285714285714,0.55,0.4457478005865103,0.55,0.4583158776707164,0.10426540284360186
P21,0.45,0.4375,0.4373401534526854,0.4375,0.4542199488491049,-0.12244897959183665
P22,0.8095238095238095,0.5,0.4473684210526316,0.5,0.7243107769423559,0.0
P23,0.14285714285714285,0.5263157894736842,0.14090909090909093,0.5263157894736842,0.1077922077922078,0.010471204188481686
P24,0.6190476190476191,0.6090909090909091,0.5961538461538461,0.6090909090909091,0.6007326007326007,0.22222222222222232
P25,0.6666666666666666,0.5,0.4,0.5,0.5333333333333334,0.0
P26,0.5,0.5535714285714286,0.4989648033126294,0.5535714285714286,0.4927536231884057,0.09022556390977432
P27,0.45454545454545453,0.5714285714285714,0.4107142857142857,0.5714285714285714,0.36688311688311687,0.108108108108108
P28,0.5652173913043478,0.5757575757575758,0.5436507936507937,0.5757575757575758,0.5393374741200828,0.14814814814814814
