subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.7142857142857143,0.55,0.5367647058823529,0.55,0.6596638655462185,0.1250000000000001
P02,0.6190476190476191,0.6666666666666666,0.5961538461538461,0.6666666666666666,0.5824175824175823,0.29999999999999993
P03,0.4444444444444444,0.5454545454545454,0.375,0.5454545454545454,0.3287037037037037,0.07216494845360832
P04,0.3684210526315789,0.5083333333333333,0.3666666666666667,0.5083333333333333,0.38596491228070173,0.008695652173912993
P05,0.5555555555555556,0.6666666666666666,0.55,0.6666666666666666,0.5333333333333333,0.2500000000000001
P06,0.45,0.44999999999999996,0.4373401534526854,0.44999999999999996,0.4373401534526854,-0.10000000000000009
P07,0.8095238095238095,0.8214285714285714,0.7980769230769231,0.8214285714285714,0.8141025641025641,0.6
P08,0.8,0.8,0.797979797979798,0.8,0.7979797979797979,0.6
P09,0.45,0.6071428571428571,0.4373401534526854,0.6071428571428571,0.40358056265984654,0.140625
P10,0.7368421052631579,0.7277777777777779,0.7246376811594203,0.7277777777777779,0.7276887871853547,0.46327683615819215
P11,0.5,0.6875,0.4949494949494949,0.6875,0.5252525252525253,0.19354838709677413
P12,0.631578947368421,0.6277777777777778,0.6274509803921569,0.6277777777777778,0.6295149638802889,0.25698324022346364
P13,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.1428571428571429
P14,0.6842105263157895,0.7102272727272727,0.6833333333333333,0.7102272727272727,0.6807017543859649,0.3936170212765958
P15,0.9,0.875,0.8901098901098901,0.875,0.8967032967032967,0.7826086956521738
P16,0.7,0.4375,0.4117647058823529,0.4375,0.6588235294117647,-0.15384615384615374
P17,0.8571428571428571,0.8365384615384616,0.8444444444444444,0.8365384615384616,0.855026455026455,0.6896551724137931
P18,0.6,0.595959595959596,0.595959595959596,0.595959595959596,0.6,0.19191919191919193
P19,0.45,0.5595238095238095,0.44862155388471175,0.5595238095238095,0.437593984962406,0.08333333333333337
P20,0.5238095238095238,0.5,0.34375,0.5,0.3601190476190476,0.0
P21,0.5,0.5,0.4949494949494949,0.5,0.505050505050505,0.0
P22,0.7619047619047619,0.6617647058823529,0.6464646464646464,0.6617647058823529,0.7715247715247715,0.2953020134228188
P23,0.23809523809523808,0.5789473684210527,0.23636363636363636,0.5789473684210527,0.2658008658008658,0.0344827586206895
P24,0.5238095238095238,0.5,0.34375,0.5,0.3601190476190476,0.0
P25,0.5714285714285714,0.42857142857142855,0.36363636363636365,0.42857142857142855,0.48484848484848486,-0.17391304347826098
P26,0.45454545454545453,0.5178571428571428,0.45,0.5178571428571428,0.43636363636363645,0.02941176470588236
P27,0.5909090909090909,0.6785714285714286,0.5831578947368421,0.6785714285714286,0.5676555023923445,0.28776978417266186
P28,0.6521739130434783,0.6515151515151515,0.6515151515151515,0.6515151515151515,0.6521739130434783,0.303030303030303
