,accuracy_mean,accuracy_std,balanced_accuracy_mean,macro_f1_mean,macro_f1_std,macro_recall_mean,weighted_f1_mean,cohen_kappa_mean,session_accuracy,session_balanced_accuracy,session_macro_f1,session_cohen_kappa,n_sessions
Baseline,0.4408185259402977,0.16203500873630486,0.5,0.296921369698245,0.08123570956085814,0.5,0.2877943124841056,0.0,0.4166666666666667,0.5,0.29411764705882354,0.0,84.0
RandomForest,0.6166017339603479,0.19021615464340566,0.6330601682305852,0.5493676746698718,0.20171366971776641,0.6330601682305852,0.565092518213434,0.2570383476867459,0.5714285714285714,0.5918367346938775,0.5711854792966535,0.1724137931034483,84.0
LogisticRegression,0.6129770655228322,0.15965255945638143,0.594123164846849,0.523964128740912,0.16756350589323576,0.594123164846849,0.5682874100357326,0.1664880420485133,0.6309523809523809,0.6510204081632653,0.6309000708717222,0.2846153846153846,84.0
XGBoost,0.6105320413305048,0.19312971944829496,0.6290809224867717,0.5435275598096996,0.19775225586325942,0.6290809224867717,0.5563304287026225,0.2516623679784672,0.5952380952380952,0.6122448979591837,0.5952380952380952,0.21235521235521226,84.0
conformer_fusion,0.6174634839026796,0.192159784499345,0.6211881033544567,0.5348935484387367,0.20524951761950574,0.6211881033544567,0.5643283207556357,0.2258003094543614,0.6309523809523809,0.6510204081632653,0.6309000708717222,0.2846153846153846,84.0
tiny_tcn_fusion,0.6465437013859702,0.2114667670212499,0.6546692460108814,0.5854424893729465,0.22632047586249104,0.6546692460108814,0.6095437856819901,0.2910609511466088,0.6309523809523809,0.6387755102040816,0.6296401649836438,0.26771653543307095,84.0
bilstm_fusion,0.6175139523946322,0.20715759683738852,0.6417038814360244,0.5549224617647267,0.2209274307259426,0.6417038814360244,0.56906824235586,0.26896873657021986,0.6309523809523809,0.6428571428571428,0.6304810557684121,0.2734375,84.0
cnn1d_fusion,0.614760374019936,0.19844384902213383,0.6126173402896921,0.5594551899940022,0.20970465390441684,0.6126173402896921,0.587925264456712,0.22867795629558138,0.6309523809523809,0.6387755102040816,0.6296401649836438,0.26771653543307095,84.0
multistream_fusion,0.5949699028768985,0.15250842340774357,0.6165054690444451,0.5464860602098237,0.16455242703599754,0.6165054690444451,0.5689098613562587,0.20773293029236156,0.6190476190476191,0.6367346938775511,0.6190476190476191,0.2586872586872586,84.0
DANN_Conformer,0.6678167338636447,0.2007832045074427,0.6644433026246935,0.6116812029351453,0.22360072711549828,0.6644433026246935,0.6341665000108805,0.33996499401881447,0.6666666666666666,0.6816326530612244,0.6664775950085082,0.3463035019455253,84.0
TSTCC,0.6227868926504101,0.19032205991806975,0.6395592558732487,0.560550023819011,0.22155810777089005,0.6395592558732487,0.5810096026020207,0.24963006206189237,0.5714285714285714,0.5795918367346939,0.5704545454545455,0.15294117647058825,84.0
Ensemble,0.6573679163087466,0.17895813917060763,0.6725018754741499,0.5975309677610936,0.19210613426280446,0.6725018754741499,0.6200581639920568,0.3202768435276524,0.6190476190476191,0.6408163265306123,0.6188315371525808,0.26436781609195403,84.0
