subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.6666666666666666,0.5166666666666667,0.505050505050505,0.5166666666666667,0.6262626262626263,0.03921568627450989
P02,0.6190476190476191,0.6666666666666666,0.5961538461538461,0.6666666666666666,0.5824175824175823,0.29999999999999993
P03,0.3888888888888889,0.5,0.28,0.5,0.2177777777777778,0.0
P04,0.8947368421052632,0.9333333333333333,0.8642857142857143,0.9333333333333333,0.9015037593984964,0.732394366197183
P05,0.8333333333333334,0.875,0.8285714285714285,0.875,0.8380952380952381,0.6666666666666667
P06,0.55,0.55,0.5488721804511278,0.55,0.5488721804511277,0.09999999999999998
P07,1.0,1.0,1.0,1.0,1.0,1.0
P08,0.8,0.8,0.7916666666666667,0.8,0.7916666666666667,0.6
P09,0.85,0.75,0.7849462365591398,0.75,0.832258064516129,0.5833333333333333
P10,0.7894736842105263,0.7777777777777778,0.7738095238095238,0.7777777777777778,0.7769423558897244,0.5681818181818181
P11,0.45,0.65625,0.44862155388471175,0.65625,0.4651629072681704,0.15384615384615385
P12,0.21052631578947367,0.2,0.17391304347826086,0.2,0.18306636155606407,-0.6101694915254237
P13,0.6428571428571429,0.6428571428571428,0.5906432748538011,0.6428571428571428,0.5906432748538012,0.2857142857142857
P14,0.7894736842105263,0.7840909090909092,0.7840909090909092,0.7840909090909092,0.7894736842105263,0.5681818181818181
P15,0.9,0.875,0.8901098901098901,0.875,0.8967032967032967,0.7826086956521738
P16,0.8,0.5,0.4444444444444444,0.5,0.711111111111111,0.0
P17,0.8095238095238095,0.8461538461538461,0.8090909090909091,0.8461538461538461,0.8112554112554113,0.631578947368421
P18,0.75,0.7525252525252526,0.7493734335839599,0.7525252525252526,0.7506265664160401,0.5
P19,0.3,0.5,0.23076923076923078,0.5,0.13846153846153847,0.0
P20,0.7619047619047619,0.759090909090909,0.7597254004576659,0.759090909090909,0.760815081181214,0.5205479452054795
P21,0.45,0.47916666666666663,0.44862155388471175,0.47916666666666663,0.44310776942355884,-0.037735849056603765
P22,0.8095238095238095,0.5,0.4473684210526316,0.5,0.7243107769423559,0.0
P23,0.19047619047619047,0.5526315789473684,0.19047619047619047,0.5526315789473684,0.19047619047619047,0.021917808219177992
P24,0.5714285714285714,0.5818181818181818,0.5552941176470588,0.5818181818181818,0.5512605042016807,0.15999999999999992
P25,0.6666666666666666,0.5,0.4,0.5,0.5333333333333334,0.0
P26,0.6363636363636364,0.7142857142857143,0.6333333333333333,0.7142857142857143,0.6242424242424243,0.3529411764705882
P27,0.36363636363636365,0.5,0.26666666666666666,0.5,0.19393939393939394,0.0
P28,0.6086956521739131,0.6174242424242424,0.5964912280701754,0.6174242424242424,0.593440122044241,0.23048327137546465
