subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.09523809523809523,0.5,0.08695652173913043,0.5,0.016563146997929608,0.0
P02,0.8333333333333334,0.4411764705882353,0.45454545454545453,0.4411764705882353,0.8585858585858586,-0.08000000000000007
P03,0.9,0.5,0.47368421052631576,0.5,0.8526315789473683,0.0
P04,0.8,0.42105263157894735,0.4444444444444444,0.42105263157894735,0.8444444444444444,-0.08108108108108092
P05,0.631578947368421,0.42857142857142855,0.3870967741935484,0.42857142857142855,0.5704584040747028,-0.17699115044247793
P06,0.42857142857142855,0.5,0.3,0.5,0.2571428571428571,0.0
P07,0.8,0.5,0.4444444444444444,0.5,0.711111111111111,0.0
P08,0.65,0.5,0.3939393939393939,0.5,0.5121212121212121,0.0
P09,0.9523809523809523,0.5,0.4878048780487805,0.5,0.9291521486643438,0.0
P10,0.6,0.7777777777777778,0.5238095238095238,0.7777777777777778,0.6761904761904762,0.19999999999999996
P11,0.8,0.5,0.4444444444444444,0.5,0.711111111111111,0.0
P12,0.7142857142857143,0.46875,0.4166666666666667,0.46875,0.634920634920635,-0.0862068965517242
P13,0.9,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.9,-0.05263157894736836
P14,0.9047619047619048,0.475,0.475,0.475,0.9047619047619048,-0.050000000000000044
P15,0.6190476190476191,0.5,0.38235294117647056,0.5,0.4733893557422969,0.0
P16,0.6190476190476191,0.40625,0.38235294117647056,0.40625,0.5826330532212884,-0.21739130434782616
P17,0.9523809523809523,0.5,0.4878048780487805,0.5,0.9291521486643438,0.0
P18,0.7619047619047619,0.6375,0.6464646464646464,0.6375,0.7522847522847523,0.2953020134228188
P19,0.045454545454545456,0.023809523809523808,0.043478260869565216,0.023809523809523808,0.08300395256916995,-0.09478672985782
P20,0.8695652173913043,0.47619047619047616,0.46511627906976744,0.47619047619047616,0.8493427704752274,-0.06153846153846154
