subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.09523809523809523,0.5,0.08695652173913043,0.5,0.016563146997929608,0.0
P05,0.9444444444444444,0.5,0.4857142857142857,0.5,0.9174603174603173,0.0
P06,0.9,0.5,0.47368421052631576,0.5,0.8526315789473683,0.0
P08,0.85,0.4473684210526316,0.4594594594594595,0.4473684210526316,0.8729729729729729,-0.0714285714285714
P12,0.7368421052631579,0.5,0.42424242424242425,0.5,0.6251993620414673,0.0
P13,0.42857142857142855,0.5,0.3,0.5,0.2571428571428571,0.0
P15,0.8,0.5,0.4444444444444444,0.5,0.711111111111111,0.0
P16,0.65,0.5,0.3939393939393939,0.5,0.5121212121212121,0.0
P17,0.9523809523809523,0.5,0.4878048780487805,0.5,0.9291521486643438,0.0
P18,0.9,0.9444444444444444,0.803921568627451,0.9444444444444444,0.9137254901960784,0.6153846153846154
P19,0.85,0.625,0.6571428571428571,0.625,0.8114285714285714,0.34782608695652173
P20,0.7619047619047619,0.5,0.43243243243243246,0.5,0.658944658944659,0.0
P21,0.95,0.5,0.48717948717948717,0.5,0.9256410256410256,0.0
P22,0.9523809523809523,0.5,0.4878048780487805,0.5,0.9291521486643438,0.0
P23,0.6190476190476191,0.5,0.38235294117647056,0.5,0.4733893557422969,0.0
P24,0.7619047619047619,0.5,0.43243243243243246,0.5,0.658944658944659,0.0
P25,0.9523809523809523,0.5,0.4878048780487805,0.5,0.9291521486643438,0.0
P26,0.7619047619047619,0.5,0.43243243243243246,0.5,0.658944658944659,0.0
P27,0.45454545454545453,0.23809523809523808,0.3125,0.23809523809523808,0.5965909090909091,-0.09090909090909083
P31,0.9130434782608695,0.5,0.4772727272727273,0.5,0.8715415019762847,0.0
