subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.09523809523809523,0.5,0.08695652173913043,0.5,0.016563146997929608,0.0
P02,0.7777777777777778,0.4117647058823529,0.4375,0.4117647058823529,0.8263888888888888,-0.09090909090909083
P03,0.9,0.5,0.47368421052631576,0.5,0.8526315789473683,0.0
P04,0.75,0.39473684210526316,0.42857142857142855,0.39473684210526316,0.8142857142857143,-0.0869565217391306
P05,0.631578947368421,0.42857142857142855,0.3870967741935484,0.42857142857142855,0.5704584040747028,-0.17699115044247793
P06,0.42857142857142855,0.5,0.3,0.5,0.2571428571428571,0.0
P07,0.8,0.5,0.4444444444444444,0.5,0.711111111111111,0.0
P08,0.7,0.5714285714285714,0.53125,0.5714285714285714,0.615625,0.17808219178082196
P09,0.6190476190476191,0.8,0.475,0.8,0.7238095238095238,0.125
P10,0.8,0.8888888888888888,0.6875,0.8888888888888888,0.8375,0.41176470588235303
P11,0.55,0.53125,0.48717948717948717,0.53125,0.5948717948717949,0.042553191489361764
P12,0.8571428571428571,0.76875,0.7878787878787878,0.76875,0.8513708513708513,0.5771812080536913
P13,0.75,0.39473684210526316,0.42857142857142855,0.39473684210526316,0.8142857142857143,-0.0869565217391306
P14,0.9523809523809523,0.5,0.4878048780487805,0.5,0.9291521486643438,0.0
P15,0.6190476190476191,0.5,0.38235294117647056,0.5,0.4733893557422969,0.0
P16,0.5714285714285714,0.58125,0.5333333333333333,0.58125,0.6031746031746031,0.1209302325581395
P17,0.42857142857142855,0.7,0.3571428571428571,0.7,0.5510204081632653,0.059701492537313494
P18,0.7619047619047619,0.56875,0.5714285714285714,0.56875,0.7210884353741497,0.17322834645669294
P19,0.7272727272727273,0.38095238095238093,0.42105263157894735,0.38095238095238093,0.8038277511961721,-0.08196721311475419
P20,0.9130434782608695,0.5,0.4772727272727273,0.5,0.8715415019762847,0.0
