subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.09523809523809523,0.5,0.08695652173913043,0.5,0.016563146997929608,0.0
P02,0.7222222222222222,0.38235294117647056,0.41935483870967744,0.38235294117647056,0.7921146953405018,-0.09756097560975618
P03,0.9,0.5,0.47368421052631576,0.5,0.8526315789473683,0.0
P04,0.15,0.5526315789473684,0.14786967418546365,0.5526315789473684,0.18621553884711778,0.011627906976744318
P05,0.7368421052631579,0.5,0.42424242424242425,0.5,0.6251993620414673,0.0
P06,0.42857142857142855,0.5,0.3,0.5,0.2571428571428571,0.0
P07,0.6,0.375,0.375,0.375,0.6,-0.25
P08,0.6,0.4945054945054945,0.4666666666666667,0.4945054945054945,0.5466666666666666,-0.012658227848101111
P09,0.8095238095238095,0.9,0.611111111111111,0.9,0.8624338624338624,0.27586206896551724
P10,0.8,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.8,-0.11111111111111116
P11,0.8,0.5,0.4444444444444444,0.5,0.711111111111111,0.0
P12,0.5238095238095238,0.34375,0.34375,0.34375,0.5238095238095238,-0.3125
P13,0.8,0.42105263157894735,0.4444444444444444,0.42105263157894735,0.8444444444444444,-0.08108108108108092
P14,0.6666666666666666,0.35,0.4,0.35,0.7619047619047619,-0.0888888888888888
P15,0.6190476190476191,0.5,0.38235294117647056,0.5,0.4733893557422969,0.0
P16,0.7142857142857143,0.5375,0.5367647058823529,0.5375,0.6869747899159664,0.08695652173913038
P17,0.9523809523809523,0.5,0.4878048780487805,0.5,0.9291521486643438,0.0
P18,0.7619047619047619,0.5,0.43243243243243246,0.5,0.658944658944659,0.0
P19,0.5,0.2619047619047619,0.3333333333333333,0.2619047619047619,0.6363636363636364,-0.09009009009009028
P20,0.8260869565217391,0.9047619047619048,0.6973684210526316,0.9047619047619048,0.8604118993135011,0.42500000000000004
