subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.09523809523809523,0.5,0.08695652173913043,0.5,0.016563146997929608,0.0
P02,0.7777777777777778,0.4117647058823529,0.4375,0.4117647058823529,0.8263888888888888,-0.09090909090909083
P03,0.9,0.5,0.47368421052631576,0.5,0.8526315789473683,0.0
P04,0.8,0.8947368421052632,0.6078431372549019,0.8947368421052632,0.8549019607843137,0.2727272727272727
P05,0.6842105263157895,0.4642857142857143,0.40625,0.4642857142857143,0.5986842105263158,-0.09615384615384626
P06,0.42857142857142855,0.5,0.3,0.5,0.2571428571428571,0.0
P07,0.8,0.5,0.4444444444444444,0.5,0.711111111111111,0.0
P08,0.7,0.6043956043956045,0.6000000000000001,0.6043956043956045,0.66,0.2405063291139241
P09,0.8571428571428571,0.45,0.46153846153846156,0.45,0.8791208791208792,-0.06779661016949157
P10,0.4,0.6666666666666666,0.375,0.6666666666666666,0.475,0.09090909090909083
P11,0.5,0.40625,0.40476190476190477,0.40625,0.5476190476190477,-0.13636363636363624
P12,0.7142857142857143,0.5375,0.5367647058823529,0.5375,0.6869747899159664,0.08695652173913038
P13,0.8,0.42105263157894735,0.4444444444444444,0.42105263157894735,0.8444444444444444,-0.08108108108108092
P14,0.8095238095238095,0.425,0.4473684210526316,0.425,0.8521303258145364,-0.07692307692307687
P15,0.6190476190476191,0.5240384615384616,0.475,0.5240384615384616,0.5404761904761904,0.0561797752808989
P16,0.6666666666666666,0.50625,0.505050505050505,0.50625,0.6531986531986531,0.01342281879194629
P17,0.9523809523809523,0.5,0.4878048780487805,0.5,0.9291521486643438,0.0
P18,0.7142857142857143,0.5375,0.5367647058823529,0.5375,0.6869747899159664,0.08695652173913038
P19,0.45454545454545453,0.23809523809523808,0.3125,0.23809523809523808,0.5965909090909091,-0.09090909090909083
P20,0.9130434782608695,0.5,0.4772727272727273,0.5,0.8715415019762847,0.0
