subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.09523809523809523,0.5,0.08695652173913043,0.5,0.016563146997929608,0.0
P02,0.8888888888888888,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.8888888888888888,-0.05882352941176472
P03,0.9,0.5,0.47368421052631576,0.5,0.8526315789473683,0.0
P04,0.65,0.8157894736842105,0.4982078853046595,0.8157894736842105,0.746594982078853,0.14634146341463405
P05,0.5789473684210527,0.39285714285714285,0.36666666666666664,0.39285714285714285,0.5403508771929824,-0.24590163934426235
P06,0.42857142857142855,0.5,0.3,0.5,0.2571428571428571,0.0
P07,0.8,0.5,0.4444444444444444,0.5,0.711111111111111,0.0
P08,0.65,0.5,0.3939393939393939,0.5,0.5121212121212121,0.0
P09,0.9047619047619048,0.475,0.475,0.475,0.9047619047619048,-0.050000000000000044
P10,0.25,0.5833333333333334,0.24812030075187969,0.5833333333333334,0.27819548872180444,0.03846153846153855
P11,0.85,0.90625,0.8119122257053292,0.90625,0.8626959247648903,0.6341463414634145
P12,0.7619047619047619,0.5,0.43243243243243246,0.5,0.658944658944659,0.0
P13,0.8,0.42105263157894735,0.4444444444444444,0.42105263157894735,0.8444444444444444,-0.08108108108108092
P14,0.7142857142857143,0.375,0.4166666666666667,0.375,0.7936507936507937,-0.0862068965517242
P15,0.6190476190476191,0.5,0.38235294117647056,0.5,0.4733893557422969,0.0
P16,0.38095238095238093,0.25,0.27586206896551724,0.25,0.42036124794745483,-0.41450777202072553
P17,0.9523809523809523,0.5,0.4878048780487805,0.5,0.9291521486643438,0.0
P18,0.7619047619047619,0.56875,0.5714285714285714,0.56875,0.7210884353741497,0.17322834645669294
P19,0.2727272727272727,0.6190476190476191,0.24786324786324787,0.6190476190476191,0.37218337218337216,0.027624309392265123
P20,0.8260869565217391,0.9047619047619048,0.6973684210526316,0.9047619047619048,0.8604118993135011,0.42500000000000004
