subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.09523809523809523,0.5,0.08695652173913043,0.5,0.016563146997929608,0.0
P02,0.8333333333333334,0.4411764705882353,0.45454545454545453,0.4411764705882353,0.8585858585858586,-0.08000000000000007
P03,0.9,0.5,0.47368421052631576,0.5,0.8526315789473683,0.0
P04,0.85,0.4473684210526316,0.4594594594594595,0.4473684210526316,0.8729729729729729,-0.0714285714285714
P05,0.631578947368421,0.42857142857142855,0.3870967741935484,0.42857142857142855,0.5704584040747028,-0.17699115044247793
P06,0.42857142857142855,0.5,0.3,0.5,0.2571428571428571,0.0
P07,0.8,0.5,0.4444444444444444,0.5,0.711111111111111,0.0
P08,0.75,0.6758241758241759,0.6865203761755485,0.6758241758241759,0.7288401253918495,0.3902439024390243
P09,0.9047619047619048,0.475,0.475,0.475,0.9047619047619048,-0.050000000000000044
P10,0.65,0.8055555555555556,0.561128526645768,0.8055555555555556,0.7191222570532915,0.23913043478260865
P11,0.9,0.84375,0.84375,0.84375,0.9,0.6875
P12,0.7619047619047619,0.6375,0.6464646464646464,0.6375,0.7522847522847523,0.2953020134228188
P13,0.95,0.5,0.48717948717948717,0.5,0.9256410256410256,0.0
P14,0.8095238095238095,0.425,0.4473684210526316,0.425,0.8521303258145364,-0.07692307692307687
P15,0.6190476190476191,0.5,0.38235294117647056,0.5,0.4733893557422969,0.0
P16,0.6666666666666666,0.4375,0.4,0.4375,0.6095238095238096,-0.15748031496062986
P17,0.9047619047619048,0.475,0.475,0.475,0.9047619047619048,-0.050000000000000044
P18,0.7619047619047619,0.5,0.43243243243243246,0.5,0.658944658944659,0.0
P19,0.4090909090909091,0.6904761904761905,0.3425287356321839,0.6904761904761905,0.5327063740856844,0.05298013245033106
P20,0.782608695652174,0.42857142857142855,0.43902439024390244,0.42857142857142855,0.8016967126193001,-0.11650485436893199
