subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.09523809523809523,0.5,0.08695652173913043,0.5,0.016563146997929608,0.0
P02,0.7777777777777778,0.4117647058823529,0.4375,0.4117647058823529,0.8263888888888888,-0.09090909090909083
P03,0.9,0.5,0.47368421052631576,0.5,0.8526315789473683,0.0
P04,0.75,0.39473684210526316,0.42857142857142855,0.39473684210526316,0.8142857142857143,-0.0869565217391306
P05,0.7894736842105263,0.7928571428571429,0.7564102564102564,0.7928571428571429,0.7989203778677463,0.5189873417721519
P06,0.42857142857142855,0.5,0.3,0.5,0.2571428571428571,0.0
P07,0.8,0.5,0.4444444444444444,0.5,0.711111111111111,0.0
P08,0.65,0.5,0.3939393939393939,0.5,0.5121212121212121,0.0
P09,0.9523809523809523,0.5,0.4878048780487805,0.5,0.9291521486643438,0.0
P10,0.9,0.5,0.47368421052631576,0.5,0.8526315789473683,0.0
P11,0.85,0.625,0.6571428571428571,0.625,0.8114285714285714,0.34782608695652173
P12,0.7619047619047619,0.5,0.43243243243243246,0.5,0.658944658944659,0.0
P13,0.9,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.9,-0.05263157894736836
P14,0.5714285714285714,0.775,0.4457478005865103,0.775,0.6845412651864266,0.10426540284360186
P15,0.5238095238095238,0.4230769230769231,0.34375,0.4230769230769231,0.4255952380952381,-0.1797752808988764
P16,0.7619047619047619,0.5,0.43243243243243246,0.5,0.658944658944659,0.0
P17,0.9047619047619048,0.475,0.475,0.475,0.9047619047619048,-0.050000000000000044
P18,0.7619047619047619,0.56875,0.5714285714285714,0.56875,0.7210884353741497,0.17322834645669294
P19,0.36363636363636365,0.19047619047619047,0.26666666666666666,0.19047619047619047,0.509090909090909,-0.09219858156028393
P20,0.9130434782608695,0.5,0.4772727272727273,0.5,0.8715415019762847,0.0
