,accuracy_mean,accuracy_std,balanced_accuracy_mean,macro_f1_mean,macro_f1_std,macro_recall_mean,weighted_f1_mean,cohen_kappa_mean,session_accuracy,session_balanced_accuracy,session_macro_f1,session_cohen_kappa,n_sessions
Baseline,0.7892294884114106,0.21072518359114584,0.5,0.43050893014259106,0.09158011643398618,0.5,0.7174411165376389,0.0,0.7833333333333333,0.5,0.4392523364485981,0.0,60.0
RandomForest,0.7892294884114106,0.21072518359114584,0.5,0.43050893014259106,0.09158011643398618,0.5,0.7174411165376389,0.0,0.7833333333333333,0.5,0.4392523364485981,0.0,60.0
LogisticRegression,0.6816503132006564,0.19654150184968072,0.5460539829967074,0.45930105115431286,0.13697986966294937,0.5460539829967074,0.6719619395038786,0.05823304354068951,0.6833333333333333,0.4639934533551555,0.45165945165945165,-0.08365019011406827,60.0
XGBoost,0.7754848996668218,0.20464144206631601,0.5026660401002506,0.4430905679910856,0.12183589147927976,0.5026660401002506,0.7159204230513436,0.02059944154206449,0.7833333333333333,0.5,0.4392523364485981,0.0,60.0
conformer_fusion,0.7204496418912895,0.20446727440879828,0.5355646835319823,0.4612468410955712,0.14833288248497023,0.5355646835319823,0.6951634568228908,0.044291425748554734,0.7333333333333333,0.46808510638297873,0.4230769230769231,-0.08843537414965996,60.0
tiny_tcn_fusion,0.6791932565273526,0.2044309842292646,0.529714094814714,0.44481093836629987,0.1528039682849249,0.529714094814714,0.6642215495615345,0.03580964651260987,0.7166666666666667,0.4852700490998363,0.46847316310578424,-0.03658536585365857,60.0
bilstm_fusion,0.6793360047021374,0.20630833894940878,0.5043767932274124,0.44104745339494766,0.111894512263922,0.5043767932274124,0.6670323717318003,0.010376094889604004,0.7,0.44680851063829785,0.4117647058823529,-0.13684210526315788,60.0
cnn1d_fusion,0.6542849052803286,0.24064937397198502,0.5391215170278638,0.42628717782253495,0.1554698757850363,0.5391215170278638,0.6322342164497409,0.025414054038949373,0.65,0.44271685761047463,0.43523083818915287,-0.125,60.0
multistream_fusion,0.7177918032895149,0.2153899121922472,0.5065173007462093,0.44292765213472896,0.13391152499231712,0.5065173007462093,0.6858442879388671,0.029591806198710914,0.7333333333333333,0.4959083469721768,0.4771241830065359,-0.010526315789473717,60.0
DANN_Conformer,0.6938775545583327,0.24771603322608723,0.4764881259521353,0.4107045457067082,0.1332355178938662,0.4764881259521353,0.6524500461015517,-0.020266259467197022,0.7333333333333333,0.4959083469721768,0.4771241830065359,-0.010526315789473717,60.0
TSTCC,0.6503289927717845,0.21894642201837688,0.49839518786596965,0.4126012746220062,0.1330712337363166,0.49839518786596965,0.6312737019316008,-0.012222193847381824,0.65,0.4148936170212766,0.3939393939393939,-0.19771863117870714,60.0
Ensemble,0.7617294884114105,0.21668918324382727,0.5127454051796156,0.44747611264540427,0.13396395485726553,0.5127454051796156,0.7060904917848705,0.04004365200017375,0.7666666666666667,0.48936170212765956,0.4339622641509434,-0.03194103194103204,60.0
