subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.09523809523809523,0.5,0.08695652173913043,0.5,0.016563146997929608,0.0
P02,0.7777777777777778,0.4117647058823529,0.4375,0.4117647058823529,0.8263888888888888,-0.09090909090909083
P03,0.9,0.5,0.47368421052631576,0.5,0.8526315789473683,0.0
P04,0.75,0.868421052631579,0.5670995670995671,0.868421052631579,0.8203463203463203,0.21875
P05,0.7368421052631579,0.5,0.42424242424242425,0.5,0.6251993620414673,0.0
P06,0.42857142857142855,0.5,0.3,0.5,0.2571428571428571,0.0
P07,0.7,0.4375,0.4117647058823529,0.4375,0.6588235294117647,-0.15384615384615374
P08,0.65,0.5,0.3939393939393939,0.5,0.5121212121212121,0.0
P09,0.9047619047619048,0.475,0.475,0.475,0.9047619047619048,-0.050000000000000044
P10,0.5,0.7222222222222222,0.45054945054945056,0.7222222222222222,0.5824175824175823,0.13793103448275867
P11,0.95,0.96875,0.9283154121863799,0.96875,0.9519713261648747,0.8571428571428572
P12,0.7619047619047619,0.5,0.43243243243243246,0.5,0.658944658944659,0.0
P13,0.85,0.4473684210526316,0.4594594594594595,0.4473684210526316,0.8729729729729729,-0.0714285714285714
P14,0.5714285714285714,0.3,0.36363636363636365,0.3,0.6926406926406927,-0.09248554913294815
P15,0.6190476190476191,0.5480769230769231,0.5333333333333333,0.5480769230769231,0.5809523809523809,0.1063829787234043
P16,0.5238095238095238,0.34375,0.34375,0.34375,0.5238095238095238,-0.3125
P17,0.9523809523809523,0.5,0.4878048780487805,0.5,0.9291521486643438,0.0
P18,0.7619047619047619,0.5,0.43243243243243246,0.5,0.658944658944659,0.0
P19,0.45454545454545453,0.23809523809523808,0.3125,0.23809523809523808,0.5965909090909091,-0.09090909090909083
P20,0.6956521739130435,0.8333333333333333,0.5818181818181818,0.8333333333333333,0.7620553359683795,0.25806451612903225
