subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.38095238095238093,0.5,0.27586206896551724,0.5,0.21018062397372742,0.0
P02,0.09523809523809523,0.5,0.08695652173913043,0.5,0.016563146997929608,0.0
P03,0.6111111111111112,0.5,0.3793103448275862,0.5,0.46360153256704983,0.0
P04,0.10526315789473684,0.5,0.09523809523809523,0.5,0.020050125313283207,0.0
P05,0.6666666666666666,0.5,0.4,0.5,0.5333333333333334,0.0
P06,0.05,0.5,0.047619047619047616,0.5,0.0047619047619047615,0.0
P07,0.9047619047619048,0.5,0.475,0.5,0.8595238095238096,0.0
P08,0.1,0.5,0.09090909090909091,0.5,0.01818181818181818,0.0
P09,0.6,0.5,0.375,0.5,0.45,0.0
P10,0.7368421052631579,0.5,0.42424242424242425,0.5,0.6251993620414673,0.0
P11,0.15,0.5,0.13043478260869565,0.5,0.03913043478260869,0.0
P12,0.631578947368421,0.5,0.3870967741935484,0.5,0.4889643463497453,0.0
P13,0.5714285714285714,0.5,0.36363636363636365,0.5,0.4155844155844156,0.0
P14,0.42105263157894735,0.5,0.2962962962962963,0.5,0.24951267056530213,0.0
P15,0.4,0.5,0.2857142857142857,0.5,0.22857142857142856,0.0
P16,0.35,0.5,0.25925925925925924,0.5,0.18148148148148147,0.0
P17,0.6666666666666666,0.5,0.4,0.5,0.5333333333333334,0.0
P18,0.35,0.5,0.25925925925925924,0.5,0.18148148148148147,0.0
P19,0.65,0.5,0.3939393939393939,0.5,0.5121212121212121,0.0
P20,0.19047619047619047,0.5,0.16,0.5,0.06095238095238095,0.0
P21,0.35,0.5,0.25925925925925924,0.5,0.18148148148148147,0.0
P22,0.2857142857142857,0.5,0.2222222222222222,0.5,0.12698412698412698,0.0
P23,0.3333333333333333,0.5,0.25,0.5,0.16666666666666666,0.0
P24,0.047619047619047616,0.5,0.045454545454545456,0.5,0.004329004329004329,0.0
P25,0.5238095238095238,0.5,0.34375,0.5,0.3601190476190476,0.0
P26,0.22727272727272727,0.5,0.18518518518518517,0.5,0.08417508417508417,0.0
P27,0.8095238095238095,0.5,0.4473684210526316,0.5,0.7243107769423559,0.0
P28,0.047619047619047616,0.5,0.045454545454545456,0.5,0.004329004329004329,0.0
P29,0.5217391304347826,0.5,0.34285714285714286,0.5,0.35776397515527947,0.0
