subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.42857142857142855,0.4903846153846154,0.41666666666666663,0.4903846153846154,0.39682539682539675,-0.016129032258064502
P02,0.5714285714285714,0.763157894736842,0.49867374005305043,0.763157894736842,0.6532777567260326,0.1746724890829695
P03,0.3888888888888889,0.44805194805194803,0.37142857142857144,0.44805194805194803,0.3481481481481481,-0.08791208791208804
P04,0.5789473684210527,0.7647058823529411,0.5128205128205128,0.7647058823529411,0.6545209176788124,0.19148936170212771
P05,0.6111111111111112,0.6666666666666667,0.609907120743034,0.6666666666666667,0.6171310629514964,0.27586206896551724
P06,0.55,0.763157894736842,0.4357366771159875,0.763157894736842,0.6642633228840126,0.09999999999999998
P07,0.38095238095238093,0.6578947368421053,0.35764705882352943,0.6578947368421053,0.4566946778711484,0.08080808080808077
P08,0.45,0.4722222222222222,0.3732193732193732,0.4722222222222222,0.5487179487179488,-0.01851851851851838
P09,0.75,0.75,0.7442455242966752,0.75,0.751918158567775,0.4897959183673469
P10,0.5789473684210527,0.65,0.5681818181818181,0.65,0.6004784688995215,0.21649484536082464
P11,0.8,0.7450980392156863,0.6875,0.7450980392156863,0.81875,0.3846153846153846
P12,0.5789473684210527,0.5773809523809523,0.5681818181818181,0.5773809523809523,0.5861244019138756,0.1460674157303371
P13,0.7142857142857143,0.75,0.7083333333333333,0.75,0.7023809523809523,0.46153846153846156
P14,0.7894736842105263,0.8181818181818181,0.788888888888889,0.8181818181818181,0.7871345029239766,0.5957446808510638
P15,0.5,0.5,0.4949494949494949,0.5,0.505050505050505,0.0
P16,0.65,0.6318681318681318,0.6266666666666667,0.6318681318681318,0.6546666666666667,0.25531914893617025
P17,0.47619047619047616,0.5714285714285714,0.47139588100686497,0.5714285714285714,0.45461479786422576,0.108108108108108
P18,0.5,0.5164835164835164,0.4949494949494949,0.5164835164835164,0.51010101010101,0.029126213592233108
P19,0.35,0.4340659340659341,0.3350383631713555,0.4340659340659341,0.30511508951406646,-0.10169491525423724
P20,0.6666666666666666,0.6029411764705883,0.5689149560117301,0.6029411764705883,0.6959921798631475,0.16000000000000003
P21,0.5,0.48351648351648346,0.4791666666666667,0.48351648351648346,0.5104166666666667,-0.030927835051546504
P22,0.5714285714285714,0.5,0.49867374005305043,0.5,0.5805229253505116,0.0
P23,0.5714285714285714,0.42857142857142855,0.36363636363636365,0.42857142857142855,0.48484848484848486,-0.17391304347826098
P24,0.6666666666666666,0.825,0.505050505050505,0.825,0.7609427609427609,0.1502890173410404
P25,0.6666666666666666,0.6727272727272727,0.6636155606407322,0.6727272727272727,0.662090007627765,0.34080717488789236
P26,0.5454545454545454,0.5647058823529412,0.5089285714285714,0.5647058823529412,0.5819805194805195,0.09090909090909094
P27,0.7142857142857143,0.8235294117647058,0.6785714285714286,0.8235294117647058,0.7448979591836734,0.41121495327102797
P28,0.5714285714285714,0.3,0.36363636363636365,0.3,0.6926406926406927,-0.09248554913294815
P29,0.391304347826087,0.3977272727272727,0.38076923076923075,0.3977272727272727,0.3772575250836121,-0.20149253731343286
