subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.3333333333333333,0.3173076923076923,0.3194444444444444,0.3173076923076923,0.3425925925925926,-0.3486238532110091
P02,0.7619047619047619,0.868421052631579,0.6464646464646464,0.868421052631579,0.8100048100048101,0.34782608695652173
P03,0.3888888888888889,0.474025974025974,0.3377926421404682,0.474025974025974,0.29691564474173165,-0.042105263157894646
P04,0.8421052631578947,0.9117647058823529,0.7373271889400921,0.9117647058823529,0.8682997817123453,0.49557522123893805
P05,0.6111111111111112,0.625,0.6,0.625,0.6222222222222222,0.2222222222222222
P06,0.65,0.8157894736842105,0.4982078853046595,0.8157894736842105,0.746594982078853,0.14634146341463405
P07,0.23809523809523808,0.5789473684210527,0.23636363636363636,0.5789473684210527,0.2658008658008658,0.0344827586206895
P08,0.75,0.6388888888888888,0.5670995670995671,0.6388888888888888,0.7922077922077922,0.16666666666666663
P09,0.65,0.6666666666666667,0.6491228070175439,0.6666666666666667,0.6526315789473685,0.3137254901960784
P10,0.631578947368421,0.6857142857142857,0.6144927536231883,0.6857142857142857,0.6529366895499619,0.2810810810810811
P11,0.75,0.7156862745098038,0.6415770609318996,0.7156862745098038,0.7795698924731183,0.30555555555555547
P12,0.6842105263157895,0.7202380952380952,0.6833333333333333,0.7202380952380952,0.687719298245614,0.3936170212765958
P13,0.7142857142857143,0.75,0.7083333333333333,0.75,0.7023809523809523,0.46153846153846156
P14,0.7894736842105263,0.8011363636363636,0.788888888888889,0.8011363636363636,0.7906432748538011,0.5824175824175825
P15,0.7,0.7291666666666667,0.7,0.7291666666666667,0.7,0.42307692307692313
P16,0.9,0.8901098901098901,0.8901098901098901,0.8901098901098901,0.9,0.7802197802197802
P17,0.5238095238095238,0.5,0.4951923076923077,0.5,0.5352564102564104,0.0
P18,0.7,0.6373626373626373,0.6428571428571428,0.6373626373626373,0.6857142857142857,0.2941176470588235
P19,0.25,0.2912087912087912,0.24812030075187969,0.2912087912087912,0.23684210526315788,-0.3392857142857144
P20,0.8095238095238095,0.5955882352941176,0.611111111111111,0.5955882352941176,0.783068783068783,0.23636363636363633
P21,0.5,0.38461538461538464,0.3333333333333333,0.38461538461538464,0.4333333333333333,-0.26582278481012644
P23,0.5238095238095238,0.36666666666666664,0.34375,0.36666666666666664,0.49107142857142855,-0.2962962962962965
P24,0.6190476190476191,0.5357142857142857,0.5333333333333333,0.5357142857142857,0.5999999999999999,0.07692307692307687
P25,0.6190476190476191,0.8,0.475,0.8,0.7238095238095238,0.125
P26,0.6190476190476191,0.6272727272727273,0.6111111111111112,0.6272727272727273,0.6084656084656085,0.25
P27,0.6818181818181818,0.5823529411764705,0.5757575757575757,0.5823529411764705,0.6914600550964187,0.15384615384615397
P28,0.2857142857142857,0.5588235294117647,0.2791762013729977,0.5588235294117647,0.23667865315462566,0.048338368580060465
P30,0.7619047619047619,0.4,0.43243243243243246,0.4,0.8236808236808237,-0.08247422680412386
P31,0.4782608695652174,0.49242424242424243,0.425,0.49242424242424243,0.41739130434782606,-0.014705882352941346
