subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.42857142857142855,0.3942307692307692,0.3942307692307692,0.3942307692307692,0.42857142857142855,-0.21153846153846145
P02,0.7619047619047619,0.868421052631579,0.6464646464646464,0.868421052631579,0.8100048100048101,0.34782608695652173
P03,0.3888888888888889,0.474025974025974,0.3377926421404682,0.474025974025974,0.29691564474173165,-0.042105263157894646
P04,0.8421052631578947,0.9117647058823529,0.7373271889400921,0.9117647058823529,0.8682997817123453,0.49557522123893805
P05,0.6111111111111112,0.625,0.6,0.625,0.6222222222222222,0.2222222222222222
P06,0.7,0.8421052631578947,0.53125,0.8421052631578947,0.784375,0.17808219178082196
P07,0.2857142857142857,0.6052631578947368,0.2791762013729977,0.6052631578947368,0.33474991827394573,0.048338368580060465
P08,0.7,0.6111111111111112,0.53125,0.6111111111111112,0.75625,0.11764705882352955
P09,0.6,0.6458333333333334,0.595959595959596,0.6458333333333334,0.5878787878787879,0.2592592592592593
P10,0.631578947368421,0.6857142857142857,0.6144927536231883,0.6857142857142857,0.6529366895499619,0.2810810810810811
P11,0.7,0.6862745098039216,0.6000000000000001,0.6862745098039216,0.74,0.2405063291139241
P12,0.7368421052631579,0.7916666666666667,0.7368421052631579,0.7916666666666667,0.7368421052631579,0.5077720207253886
P13,0.6428571428571429,0.6875,0.625668449197861,0.6875,0.614209320091673,0.3396226415094339
P14,0.5789473684210527,0.5852272727272727,0.5777777777777777,0.5852272727272727,0.5812865497076023,0.16483516483516492
P15,0.7,0.75,0.696969696969697,0.75,0.6909090909090909,0.44444444444444453
P16,0.85,0.8186813186813187,0.829059829059829,0.8186813186813187,0.847008547008547,0.6590909090909092
P17,0.5714285714285714,0.5357142857142857,0.5333333333333333,0.5357142857142857,0.5777777777777777,0.06896551724137923
P18,0.65,0.5989010989010989,0.6011396011396011,0.5989010989010989,0.643019943019943,0.20454545454545459
P19,0.25,0.2912087912087912,0.24812030075187969,0.2912087912087912,0.23684210526315788,-0.3392857142857144
P20,0.7619047619047619,0.5661764705882353,0.5714285714285714,0.5661764705882353,0.7482993197278911,0.14634146341463405
P21,0.55,0.4560439560439561,0.4357366771159875,0.4560439560439561,0.5119122257053292,-0.09756097560975618
P23,0.5714285714285714,0.4,0.36363636363636365,0.4,0.5194805194805195,-0.23529411764705865
P24,0.6190476190476191,0.5357142857142857,0.5333333333333333,0.5357142857142857,0.5999999999999999,0.07692307692307687
P25,0.5714285714285714,0.3,0.36363636363636365,0.3,0.6926406926406927,-0.09248554913294815
P26,0.5714285714285714,0.5818181818181818,0.5552941176470588,0.5818181818181818,0.5512605042016807,0.15999999999999992
P27,0.5909090909090909,0.4529411764705883,0.4545454545454546,0.4529411764705883,0.6033057851239669,-0.08791208791208782
P28,0.2857142857142857,0.5588235294117647,0.2791762013729977,0.5588235294117647,0.23667865315462566,0.048338368580060465
P30,0.8095238095238095,0.425,0.4473684210526316,0.425,0.8521303258145364,-0.07692307692307687
P31,0.4782608695652174,0.49242424242424243,0.425,0.49242424242424243,0.41739130434782606,-0.014705882352941346
