subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.3333333333333333,0.34134615384615385,0.3318181818181818,0.34134615384615385,0.33939393939393936,-0.2894736842105263
P02,0.6666666666666666,0.8157894736842105,0.5689149560117301,0.8157894736842105,0.7350928641251221,0.24615384615384606
P03,0.3333333333333333,0.3246753246753247,0.325,0.3246753246753247,0.3416666666666667,-0.33333333333333326
P04,0.6842105263157895,0.8235294117647058,0.5928571428571429,0.8235294117647058,0.7451127819548873,0.2784810126582279
P05,0.6666666666666666,0.7083333333333334,0.6625,0.7083333333333334,0.6749999999999999,0.3571428571428572
P06,0.5,0.2631578947368421,0.3333333333333333,0.2631578947368421,0.6333333333333333,-0.09890109890109877
P07,0.5714285714285714,0.763157894736842,0.49867374005305043,0.763157894736842,0.6532777567260326,0.1746724890829695
P08,0.5,0.5,0.40476190476190477,0.5,0.5952380952380953,0.0
P09,0.45,0.47916666666666663,0.44862155388471175,0.47916666666666663,0.44310776942355884,-0.037735849056603765
P10,0.631578947368421,0.75,0.6274509803921569,0.75,0.6460268317853457,0.3448275862068967
P11,0.6,0.6274509803921569,0.5238095238095238,0.6274509803921569,0.6571428571428571,0.13978494623655924
P12,0.5789473684210527,0.6071428571428572,0.5777777777777777,0.6071428571428572,0.583625730994152,0.19148936170212771
P13,0.8571428571428571,0.875,0.8571428571428571,0.875,0.8571428571428571,0.72
P14,0.5263157894736842,0.5056818181818181,0.5043478260869565,0.5056818181818181,0.5208237986270023,0.011560693641618491
P15,0.65,0.6458333333333333,0.6419437340153453,0.6458333333333333,0.6526854219948849,0.2857142857142858
P16,0.6,0.6263736263736264,0.595959595959596,0.6263736263736264,0.6080808080808081,0.22330097087378642
P17,0.5238095238095238,0.5357142857142857,0.5138888888888888,0.5357142857142857,0.5370370370370371,0.0625
P18,0.4,0.4065934065934066,0.3939393939393939,0.4065934065934066,0.4121212121212121,-0.16504854368932032
P19,0.5,0.48351648351648346,0.4791666666666667,0.48351648351648346,0.5104166666666667,-0.030927835051546504
P20,0.47619047619047616,0.3897058823529412,0.38726790450928383,0.3897058823529412,0.5317670834912215,-0.14925373134328357
P21,0.7,0.7032967032967032,0.6875,0.7032967032967032,0.70625,0.38144329896907214
P22,0.38095238095238093,0.41666666666666663,0.37528604118993136,0.41666666666666663,0.40078457012095453,-0.12345679012345667
P23,0.5238095238095238,0.5,0.4951923076923077,0.5,0.5352564102564104,0.0
P24,0.5238095238095238,0.75,0.41666666666666663,0.75,0.6428571428571428,0.08695652173913049
P25,0.47619047619047616,0.4818181818181818,0.47139588100686497,0.4818181818181818,0.4689985834150594,-0.03587443946188351
P26,0.4090909090909091,0.40588235294117647,0.3769063180827886,0.40588235294117647,0.4541493365022777,-0.1259842519685037
P27,0.42857142857142855,0.45588235294117646,0.3942307692307692,0.45588235294117646,0.48351648351648346,-0.050000000000000044
P28,0.47619047619047616,0.25,0.3225806451612903,0.25,0.6144393241167434,-0.09478672985782
P29,0.43478260869565216,0.4431818181818182,0.4171539961013645,0.4431818181818182,0.4127468429527926,-0.11152416356877337
