subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.47619047619047616,0.40865384615384615,0.38726790450928383,0.40865384615384615,0.4428445118100291,-0.1968911917098446
P02,0.7142857142857143,0.8421052631578947,0.60625,0.8421052631578947,0.7732142857142857,0.2921348314606742
P03,0.4444444444444444,0.4935064935064935,0.4375,0.4935064935064935,0.4236111111111111,-0.011235955056179803
P04,0.7894736842105263,0.8823529411764706,0.6833333333333333,0.8823529411764706,0.8280701754385965,0.40625
P05,0.5555555555555556,0.5833333333333333,0.55,0.5833333333333333,0.5666666666666667,0.1428571428571429
P06,0.65,0.8157894736842105,0.4982078853046595,0.8157894736842105,0.746594982078853,0.14634146341463405
P07,0.5238095238095238,0.7368421052631579,0.4642857142857143,0.7368421052631579,0.608843537414966,0.14634146341463417
P08,0.75,0.6388888888888888,0.5670995670995671,0.6388888888888888,0.7922077922077922,0.16666666666666663
P09,0.45,0.5208333333333334,0.41333333333333333,0.5208333333333334,0.384,0.0350877192982455
P10,0.5263157894736842,0.6142857142857143,0.5210084033613445,0.6142857142857143,0.5448916408668731,0.1576354679802957
P11,0.8,0.7450980392156863,0.6875,0.7450980392156863,0.81875,0.3846153846153846
P12,0.6842105263157895,0.75,0.6833333333333333,0.75,0.6789473684210525,0.4242424242424243
P13,0.7857142857142857,0.8125,0.7846153846153847,0.8125,0.7824175824175824,0.5882352941176471
P14,0.5789473684210527,0.5170454545454546,0.4571428571428572,0.5170454545454546,0.49774436090225566,0.03797468354430378
P15,0.75,0.7291666666666667,0.7333333333333334,0.7291666666666667,0.7466666666666667,0.46808510638297873
P16,0.85,0.7857142857142857,0.8119122257053292,0.7857142857142857,0.8373040752351096,0.6341463414634145
P17,0.38095238095238093,0.39285714285714285,0.37528604118993136,0.39285714285714285,0.3951182303585049,-0.18181818181818188
P18,0.4,0.34065934065934067,0.34065934065934067,0.34065934065934067,0.4,-0.31868131868131866
P19,0.35,0.4340659340659341,0.3350383631713555,0.4340659340659341,0.30511508951406646,-0.10169491525423724
P20,0.6666666666666666,0.6029411764705883,0.5689149560117301,0.6029411764705883,0.6959921798631475,0.16000000000000003
P21,0.6,0.5274725274725275,0.5238095238095238,0.5274725274725275,0.580952380952381,0.05882352941176472
P22,0.5714285714285714,0.4,0.36363636363636365,0.4,0.5194805194805195,-0.23529411764705865
P23,0.5714285714285714,0.4642857142857143,0.4457478005865103,0.4642857142857143,0.5337243401759532,-0.07999999999999985
P24,0.5238095238095238,0.275,0.34375,0.275,0.6547619047619048,-0.09375
P25,0.6190476190476191,0.6272727272727273,0.6111111111111112,0.6272727272727273,0.6084656084656085,0.25
P26,0.7272727272727273,0.5411764705882353,0.5416666666666667,0.5411764705882353,0.7007575757575758,0.09589041095890416
P27,0.2857142857142857,0.5588235294117647,0.2791762013729977,0.5588235294117647,0.23667865315462566,0.048338368580060465
P28,0.7619047619047619,0.875,0.5714285714285714,0.875,0.8299319727891156,0.2222222222222222
P29,0.4782608695652174,0.4810606060606061,0.4772727272727273,0.4810606060606061,0.4762845849802371,-0.03759398496240607
