subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.3333333333333333,0.3653846153846154,0.3318181818181818,0.3653846153846154,0.3242424242424242,-0.23529411764705888
P02,0.5714285714285714,0.763157894736842,0.49867374005305043,0.763157894736842,0.6532777567260326,0.1746724890829695
P03,0.4444444444444444,0.4935064935064935,0.4375,0.4935064935064935,0.4236111111111111,-0.011235955056179803
P04,0.7894736842105263,0.8823529411764706,0.6833333333333333,0.8823529411764706,0.8280701754385965,0.40625
P05,0.6666666666666666,0.6666666666666666,0.6493506493506493,0.6666666666666666,0.6753246753246753,0.3076923076923076
P06,0.3,0.631578947368421,0.27083333333333337,0.631578947368421,0.4020833333333334,0.03448275862068961
P07,0.23809523809523808,0.5789473684210527,0.23636363636363636,0.5789473684210527,0.2658008658008658,0.0344827586206895
P08,0.5,0.5,0.40476190476190477,0.5,0.5952380952380953,0.0
P09,0.55,0.5208333333333333,0.52,0.5208333333333333,0.5439999999999999,0.042553191489361764
P10,0.47368421052631576,0.45,0.43452380952380953,0.45,0.5050125313283209,-0.07954545454545459
P11,0.6,0.4901960784313726,0.4666666666666667,0.4901960784313726,0.6533333333333332,-0.012658227848101111
P12,0.631578947368421,0.6488095238095238,0.6274509803921569,0.6488095238095238,0.6377708978328173,0.27322404371584696
P13,0.9285714285714286,0.9375,0.9282051282051282,0.9375,0.928937728937729,0.8571428571428572
P14,0.5789473684210527,0.5681818181818181,0.5681818181818181,0.5681818181818181,0.5789473684210527,0.13636363636363635
P15,0.55,0.6041666666666666,0.5396419437340154,0.6041666666666666,0.5258312020460358,0.18181818181818177
P16,0.7,0.7032967032967032,0.6875,0.7032967032967032,0.70625,0.38144329896907214
P17,0.6190476190476191,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6190476190476191,0.1428571428571429
P18,0.7,0.7032967032967032,0.6875,0.7032967032967032,0.70625,0.38144329896907214
P19,0.2,0.21978021978021978,0.2,0.21978021978021978,0.2,-0.4678899082568808
P20,0.42857142857142855,0.2647058823529412,0.3,0.2647058823529412,0.48571428571428565,-0.34042553191489366
P21,0.75,0.7417582417582418,0.7333333333333334,0.7417582417582418,0.7533333333333333,0.46808510638297873
P22,0.14285714285714285,0.15,0.14090909090909093,0.15,0.15844155844155847,-0.5
P23,0.6190476190476191,0.6071428571428572,0.5961538461538461,0.6071428571428572,0.6282051282051282,0.19999999999999996
P24,0.6190476190476191,0.8,0.475,0.8,0.7238095238095238,0.125
P25,0.7619047619047619,0.7636363636363637,0.7619047619047619,0.7636363636363637,0.7619047619047619,0.5248868778280543
P26,0.6363636363636364,0.7647058823529411,0.6239316239316239,0.7647058823529411,0.6612276612276612,0.33834586466165406
P27,0.6666666666666666,0.5073529411764706,0.505050505050505,0.5073529411764706,0.6801346801346801,0.01342281879194629
P28,0.8095238095238095,0.425,0.4473684210526316,0.425,0.8521303258145364,-0.07692307692307687
P29,0.4782608695652174,0.4962121212121212,0.3839285714285714,0.4962121212121212,0.37344720496894407,-0.007299270072992581
