subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.2857142857142857,0.23076923076923078,0.2222222222222222,0.23076923076923078,0.2751322751322751,-0.5517241379310345
P02,0.6190476190476191,0.5657894736842105,0.475,0.5657894736842105,0.6976190476190476,0.0561797752808989
P03,0.3888888888888889,0.42207792207792205,0.38699690402476783,0.42207792207792205,0.3794289645682835,-0.13793103448275867
P04,0.5789473684210527,0.5441176470588236,0.4571428571428572,0.5441176470588236,0.6601503759398496,0.03797468354430378
P05,0.4444444444444444,0.5,0.4444444444444444,0.5,0.4444444444444444,0.0
P06,0.45,0.7105263157894737,0.3732193732193732,0.7105263157894737,0.5706552706552707,0.06779661016949157
P07,0.5714285714285714,0.763157894736842,0.49867374005305043,0.763157894736842,0.6532777567260326,0.1746724890829695
P08,0.65,0.5833333333333333,0.4982078853046595,0.5833333333333333,0.7189964157706094,0.07894736842105254
P09,0.45,0.5,0.4373401534526854,0.5,0.42046035805626597,0.0
P10,0.5789473684210527,0.65,0.5681818181818181,0.65,0.6004784688995215,0.21649484536082464
P11,0.65,0.6568627450980392,0.561128526645768,0.6568627450980392,0.6993730407523511,0.18604651162790697
P12,0.631578947368421,0.7083333333333334,0.6274509803921569,0.7083333333333334,0.6171310629514963,0.3448275862068967
P13,0.5,0.5208333333333333,0.49743589743589745,0.5208333333333333,0.49230769230769234,0.03921568627450989
P14,0.5263157894736842,0.4715909090909091,0.4242424242424242,0.4715909090909091,0.4625199362041467,-0.06211180124223614
P15,0.7,0.6666666666666667,0.6703296703296704,0.6666666666666667,0.6901098901098901,0.34782608695652173
P16,0.75,0.6758241758241759,0.6865203761755485,0.6758241758241759,0.7288401253918495,0.3902439024390243
P17,0.5714285714285714,0.5357142857142857,0.5333333333333333,0.5357142857142857,0.5777777777777777,0.06896551724137923
P18,0.5,0.45054945054945056,0.45054945054945056,0.45054945054945056,0.5,-0.098901098901099
P19,0.35,0.4010989010989011,0.3483709273182957,0.4010989010989011,0.3385964912280701,-0.1607142857142858
P20,0.5238095238095238,0.41911764705882354,0.41666666666666663,0.41911764705882354,0.5714285714285714,-0.11702127659574457
P21,0.6,0.5604395604395604,0.5604395604395604,0.5604395604395604,0.6,0.1208791208791209
P22,0.5238095238095238,0.36666666666666664,0.34375,0.36666666666666664,0.49107142857142855,-0.2962962962962965
P23,0.42857142857142855,0.32142857142857145,0.3,0.32142857142857145,0.4,-0.3846153846153848
P24,0.6190476190476191,0.325,0.38235294117647056,0.325,0.7282913165266106,-0.09090909090909083
P25,0.5238095238095238,0.5363636363636364,0.4951923076923077,0.5363636363636364,0.48946886446886445,0.07079646017699126
P26,0.6818181818181818,0.5117647058823529,0.5111111111111111,0.5117647058823529,0.6686868686868688,0.025316455696202556
P27,0.42857142857142855,0.6470588235294118,0.42727272727272725,0.6470588235294118,0.4441558441558441,0.136986301369863
P28,0.7142857142857143,0.85,0.5367647058823529,0.85,0.7962184873949579,0.18181818181818188
P29,0.5217391304347826,0.5265151515151515,0.5180952380952382,0.5265151515151515,0.5162732919254658,0.05243445692883886
