subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.6666666666666666,0.7067307692307692,0.6666666666666666,0.7067307692307692,0.6666666666666666,0.36909871244635195
P02,0.42857142857142855,0.6842105263157895,0.3942307692307692,0.6842105263157895,0.510989010989011,0.09999999999999987
P03,0.3888888888888889,0.474025974025974,0.3377926421404682,0.474025974025974,0.29691564474173165,-0.042105263157894646
P04,0.7368421052631579,0.8529411764705883,0.6360153256704981,0.8529411764705883,0.7872554950594878,0.33566433566433573
P05,0.7222222222222222,0.7083333333333333,0.6989966555183946,0.7083333333333333,0.7268673355629878,0.4
P06,0.45,0.7105263157894737,0.3732193732193732,0.7105263157894737,0.5706552706552707,0.06779661016949157
P07,0.19047619047619047,0.5526315789473684,0.19047619047619047,0.5526315789473684,0.19047619047619047,0.021917808219177992
P08,0.5,0.5,0.40476190476190477,0.5,0.5952380952380953,0.0
P09,0.5,0.5,0.4949494949494949,0.5,0.505050505050505,0.0
P10,0.631578947368421,0.6857142857142857,0.6144927536231883,0.6857142857142857,0.6529366895499619,0.2810810810810811
P11,0.55,0.5980392156862745,0.48717948717948717,0.5980392156862745,0.6128205128205128,0.09999999999999998
P12,0.5789473684210527,0.6071428571428572,0.5777777777777777,0.6071428571428572,0.583625730994152,0.19148936170212771
P13,0.8571428571428571,0.875,0.8571428571428571,0.875,0.8571428571428571,0.72
P14,0.47368421052631576,0.5113636363636364,0.4602272727272727,0.5113636363636364,0.44677033492822965,0.020618556701030855
P15,0.4,0.5,0.2857142857142857,0.5,0.22857142857142856,0.0
P16,0.55,0.5879120879120879,0.5488721804511278,0.5879120879120879,0.5556390977443609,0.15094339622641506
P17,0.38095238095238093,0.3214285714285714,0.3259259259259259,0.3214285714285714,0.3901234567901234,-0.3448275862068966
P18,0.55,0.5879120879120879,0.5488721804511278,0.5879120879120879,0.5556390977443609,0.15094339622641506
P19,0.5,0.5494505494505495,0.5,0.5494505494505495,0.5,0.08256880733944938
P20,0.8095238095238095,0.5955882352941176,0.611111111111111,0.5955882352941176,0.783068783068783,0.23636363636363633
P21,0.45,0.34615384615384615,0.3103448275862069,0.34615384615384615,0.40344827586206894,-0.3414634146341464
P22,0.7619047619047619,0.7333333333333334,0.7214854111405835,0.7333333333333334,0.7669571807502842,0.4444444444444444
P23,0.5238095238095238,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.5238095238095238,-0.0714285714285714
P24,0.6666666666666666,0.825,0.505050505050505,0.825,0.7609427609427609,0.1502890173410404
P25,0.8571428571428571,0.8636363636363636,0.8558352402745995,0.8636363636363636,0.8551814318404707,0.7174887892376681
P26,0.6363636363636364,0.6941176470588235,0.6071428571428572,0.6941176470588235,0.6655844155844156,0.2727272727272727
P27,0.42857142857142855,0.6470588235294118,0.42727272727272725,0.6470588235294118,0.4441558441558441,0.136986301369863
P28,0.7619047619047619,0.4,0.43243243243243246,0.4,0.8236808236808237,-0.08247422680412386
P29,0.4782608695652174,0.48863636363636365,0.45238095238095233,0.48863636363636365,0.44720496894409933,-0.022222222222222143
