subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.5714285714285714,0.5576923076923077,0.5552941176470588,0.5576923076923077,0.5754621848739496,0.11267605633802813
P02,0.6190476190476191,0.5657894736842105,0.475,0.5657894736842105,0.6976190476190476,0.0561797752808989
P03,0.4444444444444444,0.5194805194805194,0.41558441558441556,0.5194805194805194,0.3867243867243867,0.03225806451612889
P04,0.6842105263157895,0.6029411764705883,0.525,0.6029411764705883,0.7421052631578948,0.109375
P05,0.6666666666666666,0.75,0.6666666666666666,0.75,0.6666666666666666,0.4
P06,0.65,0.8157894736842105,0.4982078853046595,0.8157894736842105,0.746594982078853,0.14634146341463405
P07,0.42857142857142855,0.6842105263157895,0.3942307692307692,0.6842105263157895,0.510989010989011,0.09999999999999987
P08,0.45,0.4722222222222222,0.3732193732193732,0.4722222222222222,0.5487179487179488,-0.01851851851851838
P09,0.65,0.625,0.6266666666666667,0.625,0.6453333333333333,0.25531914893617025
P10,0.7368421052631579,0.7571428571428571,0.7076923076923077,0.7571428571428571,0.751417004048583,0.43113772455089816
P11,0.8,0.8823529411764706,0.7333333333333334,0.8823529411764706,0.8266666666666668,0.49367088607594944
P12,0.6842105263157895,0.7202380952380952,0.6833333333333333,0.7202380952380952,0.687719298245614,0.3936170212765958
P13,0.7142857142857143,0.7291666666666667,0.7142857142857143,0.7291666666666667,0.7142857142857143,0.43999999999999995
P14,0.7368421052631579,0.7556818181818181,0.7368421052631579,0.7556818181818181,0.7368421052631579,0.4864864864864865
P15,0.6,0.6666666666666666,0.5833333333333333,0.6666666666666666,0.5666666666666667,0.2857142857142857
P16,0.55,0.554945054945055,0.5396419437340154,0.554945054945055,0.5603580562659847,0.09999999999999998
P17,0.5714285714285714,0.5714285714285714,0.5552941176470588,0.5714285714285714,0.5835294117647059,0.12903225806451613
P18,0.6,0.5934065934065934,0.5833333333333333,0.5934065934065934,0.6083333333333333,0.17525773195876282
P19,0.5,0.5164835164835164,0.4949494949494949,0.5164835164835164,0.51010101010101,0.029126213592233108
P20,0.5714285714285714,0.4485294117647059,0.4457478005865103,0.4485294117647059,0.6091328026811897,-0.07999999999999985
P21,0.5,0.45054945054945056,0.45054945054945056,0.45054945054945056,0.5,-0.098901098901099
P22,0.5714285714285714,0.5,0.49867374005305043,0.5,0.5805229253505116,0.0
P23,0.6190476190476191,0.5357142857142857,0.5333333333333333,0.5357142857142857,0.5999999999999999,0.07692307692307687
P24,0.5238095238095238,0.75,0.41666666666666663,0.75,0.6428571428571428,0.08695652173913049
P25,0.7142857142857143,0.7272727272727273,0.6971153846153846,0.7272727272727273,0.6936813186813188,0.4424778761061947
P26,0.6363636363636364,0.4117647058823529,0.3888888888888889,0.4117647058823529,0.6010101010101011,-0.20547945205479445
P27,0.5238095238095238,0.6102941176470589,0.4951923076923077,0.6102941176470589,0.5695970695970696,0.12499999999999989
P28,0.7142857142857143,0.375,0.4166666666666667,0.375,0.7936507936507937,-0.0862068965517242
P29,0.43478260869565216,0.44696969696969696,0.3935091277890467,0.44696969696969696,0.38663021430461236,-0.10332103321033204
