subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.38095238095238093,0.3798076923076923,0.37528604118993136,0.3798076923076923,0.38945189059605534,-0.22421524663677128
P02,0.6190476190476191,0.7894736842105263,0.5333333333333333,0.7894736842105263,0.6952380952380951,0.2075471698113207
P03,0.5,0.5909090909090909,0.4581939799331104,0.5909090909090909,0.4247491638795987,0.1473684210526317
P04,0.5263157894736842,0.5147058823529411,0.4242424242424242,0.5147058823529411,0.6156299840510366,0.011560693641618491
P05,0.6111111111111112,0.5833333333333333,0.5785953177257526,0.5833333333333333,0.6176142697881828,0.16000000000000003
P06,0.7,0.3684210526315789,0.4117647058823529,0.3684210526315789,0.7823529411764706,-0.09090909090909083
P07,0.14285714285714285,0.5263157894736842,0.14090909090909093,0.5263157894736842,0.1077922077922078,0.010471204188481686
P08,0.8,0.6666666666666667,0.6078431372549019,0.6666666666666667,0.8274509803921569,0.23076923076923084
P09,0.5,0.5,0.4949494949494949,0.5,0.505050505050505,0.0
P10,0.42105263157894735,0.6071428571428571,0.4145658263305322,0.6071428571428571,0.38537520271266407,0.12552301255230114
P11,0.35,0.3431372549019608,0.30666666666666664,0.3431372549019608,0.42800000000000005,-0.14035087719298267
P12,0.5789473684210527,0.6369047619047619,0.5777777777777777,0.6369047619047619,0.5719298245614035,0.23232323232323238
P13,0.35714285714285715,0.3958333333333333,0.3262032085561497,0.3958333333333333,0.3055767761650114,-0.18867924528301883
P14,0.5263157894736842,0.5909090909090909,0.47384615384615386,0.5909090909090909,0.4476113360323886,0.1576354679802957
P15,0.6,0.6666666666666666,0.5833333333333333,0.6666666666666666,0.5666666666666667,0.2857142857142857
P16,0.85,0.8846153846153846,0.8465473145780051,0.8846153846153846,0.8534526854219949,0.7
P17,0.7142857142857143,0.6071428571428572,0.60625,0.6071428571428572,0.675,0.25
P18,0.65,0.5659340659340659,0.561128526645768,0.5659340659340659,0.6203761755485893,0.14634146341463405
P19,0.55,0.5879120879120879,0.5488721804511278,0.5879120879120879,0.5556390977443609,0.15094339622641506
P20,0.9047619047619048,0.75,0.8055555555555556,0.75,0.8915343915343915,0.6181818181818182
P21,0.65,0.5,0.3939393939393939,0.5,0.5121212121212121,0.0
P22,0.7142857142857143,0.5,0.4166666666666667,0.5,0.5952380952380952,0.0
P23,0.47619047619047616,0.4642857142857143,0.4564705882352942,0.4642857142857143,0.49098039215686284,-0.06451612903225801
P24,0.5238095238095238,0.275,0.34375,0.275,0.6547619047619048,-0.09375
P25,0.42857142857142855,0.42727272727272725,0.42727272727272725,0.42727272727272725,0.42857142857142855,-0.1454545454545455
P26,0.6818181818181818,0.723529411764706,0.6459770114942529,0.723529411764706,0.7074190177638453,0.33043478260869563
P27,0.2857142857142857,0.5588235294117647,0.2791762013729977,0.5588235294117647,0.23667865315462566,0.048338368580060465
P28,0.5238095238095238,0.275,0.34375,0.275,0.6547619047619048,-0.09375
P29,0.34782608695652173,0.34090909090909094,0.32748538011695905,0.34090909090909094,0.3325705568268497,-0.32183908045977017
