,accuracy_mean,accuracy_std,balanced_accuracy_mean,macro_f1_mean,macro_f1_std,macro_recall_mean,weighted_f1_mean,cohen_kappa_mean,session_accuracy,session_balanced_accuracy,session_macro_f1,session_cohen_kappa,n_sessions
Baseline,0.4061610115425313,0.2449456646301194,0.5,0.26645949413563885,0.13018045103628573,0.5,0.2794030348137849,0.0,0.41379310344827586,0.5,0.2926829268292683,0.0,87.0
RandomForest,0.5953597705590131,0.14789694396941666,0.5998872761403454,0.5194352049060104,0.13871647226410866,0.5998872761403454,0.6003461309381201,0.12444582260352313,0.6091954022988506,0.5604575163398693,0.5435185185185185,0.13051146384479728,87.0
LogisticRegression,0.5311386685331292,0.1180313432547944,0.5475481690651969,0.490554778863465,0.12637340554992435,0.5475481690651969,0.5654169726097774,0.06405956619155957,0.5747126436781609,0.5473856209150327,0.5456598447424136,0.09756097560975607,87.0
XGBoost,0.5435242734067006,0.11013897090773576,0.5386758752083829,0.47077366354499517,0.10295693611613206,0.5386758752083829,0.5597549678514995,0.024041297682311977,0.5402298850574713,0.49754901960784315,0.48275862068965514,-0.005199306759098743,87.0
conformer_fusion,0.6023179228339807,0.09877036239775928,0.6067838922995321,0.5378707682091723,0.11381006180991649,0.6067838922995321,0.6221798089288023,0.14879733074956972,0.5977011494252874,0.5751633986928104,0.5752545682800948,0.1534612176814012,87.0
tiny_tcn_fusion,0.5959733165998454,0.17539898038146093,0.616619546722568,0.5262995201543424,0.16820385715420608,0.616619546722568,0.5921107974595026,0.1708832156167841,0.5862068965517241,0.5531045751633987,0.548963133640553,0.11073253833049412,87.0
bilstm_fusion,0.5577218055360562,0.13115822769895283,0.5606401218616975,0.5051448192671808,0.146954276839363,0.5606401218616975,0.5850688408427351,0.1015954498900862,0.5402298850574713,0.5261437908496731,0.5261437908496731,0.05228758169934633,87.0
cnn1d_fusion,0.5665559166190429,0.15752027981598657,0.6059025273328146,0.5100226042173965,0.15754379908342847,0.6059025273328146,0.5761178423918969,0.1395138014760671,0.5977011494252874,0.5792483660130718,0.5797101449275363,0.1604631927212572,87.0
multistream_fusion,0.5487867424228191,0.16923565311532834,0.5386431733100892,0.47277075993999157,0.14979151064364357,0.5386431733100892,0.5475722537830521,0.0844720114509167,0.5632183908045977,0.5334967320261438,0.5303977272727273,0.0692567567567568,87.0
DANN_Conformer,0.567692230439804,0.1215701714009399,0.6022438671846166,0.5161878309487753,0.1279382326451485,0.6022438671846166,0.5874523510254509,0.12830057690345265,0.5862068965517241,0.565359477124183,0.5654827968923418,0.13289036544850497,87.0
TSTCC,0.5616384505400525,0.18455722799435526,0.5799861667281866,0.5072866845141593,0.17890287188485735,0.5799861667281866,0.5810819855764294,0.11354810657730421,0.5862068965517241,0.5816993464052287,0.579484425349087,0.16077170418006426,87.0
Ensemble,0.6126541821365462,0.174159458370797,0.6193411323976071,0.538783894060304,0.16736385859039796,0.6193411323976071,0.6164583687094571,0.16378004056328885,0.6206896551724138,0.5784313725490196,0.5695006747638327,0.16710182767624016,87.0
