subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.47619047619047616,0.4807692307692308,0.47139588100686497,0.4807692307692308,0.483382368965893,-0.03587443946188351
P02,0.9047619047619048,0.9473684210526316,0.8055555555555556,0.9473684210526316,0.9179894179894179,0.6181818181818182
P03,0.4444444444444444,0.5454545454545454,0.375,0.5454545454545454,0.3287037037037037,0.07216494845360832
P04,0.7368421052631579,0.8529411764705883,0.6360153256704981,0.8529411764705883,0.7872554950594878,0.33566433566433573
P05,0.5,0.5416666666666666,0.4984520123839009,0.5416666666666666,0.5077399380804953,0.06896551724137923
P06,0.5,0.7368421052631579,0.40476190476190477,0.7368421052631579,0.6190476190476191,0.08256880733944938
P07,0.09523809523809523,0.5,0.08695652173913043,0.5,0.016563146997929608,0.0
P08,0.7,0.6111111111111112,0.53125,0.6111111111111112,0.75625,0.11764705882352955
P09,0.55,0.5833333333333334,0.5488721804511278,0.5833333333333334,0.544360902255639,0.15094339622641506
P10,0.5789473684210527,0.65,0.5681818181818181,0.65,0.6004784688995215,0.21649484536082464
P11,0.8,0.7450980392156863,0.6875,0.7450980392156863,0.81875,0.3846153846153846
P12,0.5789473684210527,0.5773809523809523,0.5681818181818181,0.5773809523809523,0.5861244019138756,0.1460674157303371
P13,0.7142857142857143,0.75,0.7083333333333333,0.75,0.7023809523809523,0.46153846153846156
P14,0.6842105263157895,0.7272727272727273,0.6761363636363636,0.7272727272727273,0.6680622009569378,0.41237113402061853
P15,0.4,0.5,0.2857142857142857,0.5,0.22857142857142856,0.0
P16,0.75,0.7087912087912087,0.7150997150997151,0.7087912087912087,0.745014245014245,0.4318181818181819
P17,0.47619047619047616,0.35714285714285715,0.3225806451612903,0.35714285714285715,0.4301075268817204,-0.31999999999999984
P18,0.75,0.7417582417582418,0.7333333333333334,0.7417582417582418,0.7533333333333333,0.46808510638297873
P19,0.45,0.44505494505494503,0.4373401534526854,0.44505494505494503,0.46265984654731457,-0.10000000000000009
P20,0.9047619047619048,0.75,0.8055555555555556,0.75,0.8915343915343915,0.6181818181818182
P21,0.6,0.46153846153846156,0.375,0.46153846153846156,0.4875,-0.09589041095890405
P22,0.6190476190476191,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.6190476190476191,0.06666666666666665
P23,0.6666666666666666,0.5714285714285714,0.5689149560117301,0.5714285714285714,0.6373411534701857,0.16000000000000003
P24,0.47619047619047616,0.725,0.38726790450928383,0.725,0.5984590122521156,0.07228915662650603
P25,0.7619047619047619,0.7636363636363637,0.7619047619047619,0.7636363636363637,0.7619047619047619,0.5248868778280543
P26,0.5,0.5352941176470588,0.47276688453159044,0.5352941176470588,0.5381263616557734,0.047244094488189115
P27,0.3333333333333333,0.5882352941176471,0.3318181818181818,0.5882352941176471,0.31212121212121213,0.07547169811320753
P28,0.8095238095238095,0.425,0.4473684210526316,0.425,0.8521303258145364,-0.07692307692307687
P29,0.5217391304347826,0.5265151515151515,0.5180952380952382,0.5265151515151515,0.5162732919254658,0.05243445692883886
