subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.047619047619047616,0.16666666666666666,0.025,0.125,0.009523809523809525,-0.06598984771573613
P02,0.7619047619047619,0.42105263157894735,0.30476190476190473,0.2807017543859649,0.8272108843537415,0.1984732824427481
P03,0.3888888888888889,0.44805194805194803,0.37142857142857144,0.44805194805194803,0.3481481481481481,-0.08791208791208804
P04,0.8421052631578947,0.6911764705882353,0.4458333333333333,0.46078431372549017,0.8809210526315789,0.43000000000000005
P05,0.5,0.6767676767676768,0.41666666666666663,0.5075757575757576,0.5092592592592592,0.21739130434782605
P06,0.5,0.19607843137254902,0.16666666666666666,0.14705882352941177,0.5666666666666667,-0.1560693641618498
P07,0.3333333333333333,0.631578947368421,0.3194444444444444,0.631578947368421,0.39814814814814814,0.06369426751592355
P08,0.75,0.29411764705882354,0.22727272727272727,0.22058823529411764,0.7727272727272727,0.19354838709677435
P09,0.45,0.5,0.29891304347826086,0.3333333333333333,0.4336956521739131,0.051724137931034475
P10,0.2631578947368421,0.4357142857142857,0.17500000000000002,0.2904761904761905,0.19736842105263158,-0.03100775193798455
P11,0.75,0.8529411764705883,0.6865203761755485,0.8529411764705883,0.7852664576802508,0.41860465116279066
P12,0.3157894736842105,0.3,0.20098039215686275,0.3,0.2745098039215686,0.11785714285714288
P13,0.5,0.5625,0.32407407407407407,0.375,0.44841269841269843,0.234375
P14,0.3684210526315789,0.3352272727272727,0.17482517482517482,0.16761363636363635,0.3805668016194332,-0.1399999999999999
P15,0.6,0.6111111111111112,0.5776556776556777,0.6111111111111112,0.6265934065934065,0.375
P16,0.4,0.3076923076923077,0.18181818181818182,0.15384615384615385,0.4727272727272728,0.15194346289752647
P17,0.5238095238095238,0.36996336996337,0.35104669887278583,0.36996336996337,0.5249597423510467,0.10256410256410253
P18,0.5,0.3376623376623377,0.24358974358974358,0.2532467532467533,0.47435897435897434,0.06976744186046513
P19,0.25,0.25,0.10869565217391304,0.25,0.10869565217391304,-0.04166666666666674
P20,0.7142857142857143,0.375,0.3787878787878788,0.375,0.6291486291486292,0.26315789473684204
P21,0.5,0.25641025641025644,0.2222222222222222,0.25641025641025644,0.4333333333333333,-0.24223602484472062
P22,0.19047619047619047,0.1,0.1111111111111111,0.06666666666666667,0.31746031746031744,0.011080332409972304
P23,0.23809523809523808,0.15625,0.09615384615384616,0.15625,0.14652014652014653,-0.1586206896551723
P24,0.47619047619047616,0.2380952380952381,0.2222222222222222,0.2380952380952381,0.44444444444444436,-0.1159420289855071
P25,0.6666666666666666,0.35,0.26666666666666666,0.2333333333333333,0.7619047619047619,-0.042553191489361764
P26,0.38095238095238093,0.2222222222222222,0.16666666666666666,0.2222222222222222,0.2857142857142857,-0.011111111111111294
P27,0.6818181818181818,0.35833333333333334,0.35000000000000003,0.35833333333333334,0.6386363636363637,0.06666666666666665
P28,0.2857142857142857,0.5588235294117647,0.2791762013729977,0.5588235294117647,0.23667865315462566,0.048338368580060465
P29,0.6818181818181818,0.6818181818181818,0.40540540540540543,0.3409090909090909,0.8108108108108109,0.0
P30,0.9047619047619048,0.475,0.475,0.475,0.9047619047619048,-0.050000000000000044
P31,0.391304347826087,0.27272727272727276,0.19354838709677422,0.27272727272727276,0.27769985974754563,-0.15412186379928317
