subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.047619047619047616,0.030303030303030304,0.038461538461538464,0.022727272727272728,0.08058608058608059,-0.11999999999999988
P02,0.47619047619047616,0.2631578947368421,0.1724137931034483,0.13157894736842105,0.6239737274220033,0.03347280334728042
P03,0.3333333333333333,0.3246753246753247,0.2236842105263158,0.21645021645021645,0.3545321637426901,-0.24855491329479773
P04,0.5263157894736842,0.5147058823529411,0.23809523809523808,0.25735294117647056,0.6265664160401002,0.05524861878453047
P05,0.6111111111111112,0.7373737373737373,0.4455128205128205,0.553030303030303,0.6403133903133903,0.37623762376237624
P06,0.35,0.1372549019607843,0.1346153846153846,0.10294117647058823,0.4576923076923077,-0.07883817427385886
P07,0.2857142857142857,0.381578947368421,0.14166666666666666,0.1907894736842105,0.37777777777777777,-0.026058631921824116
P08,0.5,0.19607843137254902,0.17857142857142858,0.14705882352941177,0.6071428571428571,0.029126213592233108
P09,0.3,0.29166666666666663,0.2074074074074074,0.19444444444444442,0.3288888888888889,-0.25
P10,0.3684210526315789,0.5071428571428571,0.2549019607843137,0.25357142857142856,0.435500515995872,0.19718309859154937
P11,0.4,0.5098039215686274,0.213768115942029,0.2549019607843137,0.49347826086956526,0.11439114391143912
P12,0.05263157894736842,0.025,0.03571428571428571,0.025,0.07518796992481203,-0.2573529411764708
P13,0.35714285714285715,0.35416666666666663,0.2361111111111111,0.17708333333333331,0.47619047619047616,0.1369863013698629
P14,0.3684210526315789,0.3522727272727273,0.20833333333333331,0.17613636363636365,0.4298245614035087,0.008695652173912993
P15,0.3,0.3333333333333333,0.26785714285714285,0.25,0.3476190476190476,0.014084507042253502
P16,0.3,0.26373626373626374,0.1875,0.13186813186813187,0.4125,0.07284768211920534
P17,0.3333333333333333,0.24542124542124544,0.19090909090909092,0.18406593406593408,0.35844155844155845,-0.10526315789473673
P18,0.3,0.21645021645021645,0.16776315789473684,0.16233766233766234,0.3190789473684211,-0.1428571428571428
P19,0.35,0.2409090909090909,0.25,0.2409090909090909,0.37,0.015151515151515138
P20,0.3333333333333333,0.125,0.15217391304347827,0.125,0.4057971014492754,-0.01730103806228378
P21,0.55,0.6495726495726496,0.38502415458937195,0.48717948717948717,0.6055072463768115,0.27419354838709675
P22,0.38095238095238093,0.2,0.14285714285714285,0.1,0.5442176870748299,0.025000000000000022
P23,0.047619047619047616,0.03125,0.029411764705882353,0.03125,0.04481792717086835,-0.33333333333333326
P24,0.23809523809523808,0.11904761904761905,0.10416666666666667,0.08928571428571429,0.2777777777777778,-0.22627737226277378
P25,0.42857142857142855,0.225,0.15,0.1125,0.5714285714285714,-0.050000000000000044
P26,0.38095238095238093,0.2648809523809524,0.2597402597402597,0.2648809523809524,0.359925788497217,0.061855670103092786
P27,0.45454545454545453,0.3458333333333334,0.24175824175824173,0.259375,0.489010989010989,0.04693140794223816
P28,0.2857142857142857,0.2720588235294118,0.1865079365079365,0.18137254901960786,0.3645124716553288,-0.11702127659574457
P29,0.45454545454545453,0.45454545454545453,0.15625,0.11363636363636363,0.625,0.0
P30,0.38095238095238093,0.675,0.17962962962962964,0.3375,0.5033509700176366,0.06506849315068497
P31,0.34782608695652173,0.39090909090909093,0.25098039215686274,0.2931818181818182,0.3814151747655584,0.05737704918032782
