subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.09523809523809523,0.3333333333333333,0.047619047619047616,0.25,0.018140589569160998,0.00992555831265507
P02,0.6666666666666666,0.3684210526315789,0.2828282828282828,0.24561403508771928,0.7676767676767676,0.10909090909090902
P03,0.5,0.5909090909090909,0.4581939799331104,0.5909090909090909,0.4247491638795987,0.1473684210526317
P04,0.7894736842105263,0.8823529411764706,0.6833333333333333,0.8823529411764706,0.8280701754385965,0.40625
P05,0.3333333333333333,0.5858585858585857,0.4101921470342522,0.5858585858585857,0.2646895015316068,-0.02369668246445511
P06,0.6,0.23529411764705885,0.25,0.23529411764705885,0.6375,-0.1428571428571428
P07,0.3333333333333333,0.631578947368421,0.3194444444444444,0.631578947368421,0.39814814814814814,0.06369426751592355
P08,0.75,0.29411764705882354,0.22727272727272727,0.22058823529411764,0.7727272727272727,0.19354838709677435
P09,0.4,0.4791666666666667,0.34065934065934067,0.4791666666666667,0.3010989010989011,-0.0344827586206895
P10,0.42105263157894735,0.6071428571428571,0.4145658263305322,0.6071428571428571,0.38537520271266407,0.12552301255230114
P11,0.8,0.7450980392156863,0.6875,0.7450980392156863,0.81875,0.3846153846153846
P12,0.2631578947368421,0.275,0.1406926406926407,0.275,0.17589428115743905,0.050000000000000044
P13,0.42857142857142855,0.5,0.21052631578947367,0.3333333333333333,0.2706766917293233,0.05084745762711862
P14,0.631578947368421,0.5625,0.4904214559386973,0.5625,0.5327687033676145,0.14193548387096766
P15,0.5,0.3333333333333333,0.36410256410256414,0.3333333333333333,0.4953846153846153,0.03846153846153855
P16,0.65,0.5,0.2988505747126437,0.3333333333333333,0.5827586206896551,0.27083333333333326
P17,0.47619047619047616,0.38827838827838823,0.322061191626409,0.38827838827838823,0.449045318610536,0.1250000000000001
P18,0.45,0.29004329004329005,0.26461538461538464,0.29004329004329005,0.40584615384615386,-0.07843137254901955
P19,0.25,0.25,0.10869565217391304,0.25,0.10869565217391304,-0.04166666666666674
P20,0.5714285714285714,0.21428571428571427,0.1875,0.21428571428571427,0.5,-0.032786885245901454
P21,0.55,0.28205128205128205,0.23655913978494625,0.28205128205128205,0.4612903225806452,-0.16883116883116878
P22,0.19047619047619047,0.1,0.1111111111111111,0.06666666666666667,0.31746031746031744,0.011080332409972304
P23,0.3333333333333333,0.21875,0.125,0.21875,0.19047619047619047,-0.0652173913043479
P24,0.5714285714285714,0.2857142857142857,0.25806451612903225,0.2857142857142857,0.5161290322580645,0.03076923076923066
P25,0.7142857142857143,0.375,0.2777777777777778,0.25,0.7936507936507937,-0.04132231404958686
P26,0.5238095238095238,0.3214285714285714,0.26398601398601396,0.3214285714285714,0.4179154179154179,0.1923076923076923
P27,0.6818181818181818,0.3125,0.2702702702702703,0.3125,0.5896805896805897,-0.07692307692307687
P28,0.23809523809523808,0.4338235294117647,0.23636363636363636,0.4338235294117647,0.21385281385281388,-0.05660377358490565
P29,0.8636363636363636,0.8636363636363636,0.4634146341463415,0.4318181818181818,0.926829268292683,0.0
P30,0.8095238095238095,0.425,0.4473684210526316,0.425,0.8521303258145364,-0.07692307692307687
P31,0.4782608695652174,0.33636363636363636,0.2663358147229115,0.33636363636363636,0.3754450318265185,0.010752688172043001
