subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.09523809523809523,0.196969696969697,0.08391608391608392,0.14772727272727273,0.09790209790209792,0.004987531172069848
P02,0.5714285714285714,0.3157894736842105,0.25806451612903225,0.21052631578947367,0.7004608294930875,0.06896551724137923
P03,0.3888888888888889,0.44805194805194803,0.26432748538011697,0.2987012987012987,0.3676413255360624,-0.010204081632652962
P04,0.5789473684210527,0.5441176470588236,0.2566137566137566,0.2720588235294118,0.6928432191590086,0.16022099447513816
P05,0.3333333333333333,0.1818181818181818,0.13636363636363635,0.13636363636363635,0.3333333333333333,-0.21348314606741559
P06,0.35,0.1372549019607843,0.12962962962962962,0.10294117647058823,0.44074074074074077,-0.1659192825112108
P07,0.19047619047619047,0.5526315789473684,0.10317460317460317,0.2763157894736842,0.19349962207105062,0.037735849056603654
P08,0.5,0.19607843137254902,0.17857142857142858,0.14705882352941177,0.6071428571428571,-0.005025125628140614
P09,0.35,0.33333333333333337,0.1875,0.16666666666666669,0.4,-0.08333333333333326
P10,0.2631578947368421,0.30714285714285716,0.2111111111111111,0.20476190476190478,0.3087719298245614,-0.09917355371900838
P11,0.5,0.29411764705882354,0.16666666666666666,0.14705882352941177,0.5666666666666667,-0.17647058823529416
P12,0.3157894736842105,0.2833333333333333,0.2965686274509804,0.2833333333333333,0.3436532507739938,0.03515625
P13,0.42857142857142855,0.4791666666666667,0.2962962962962963,0.3194444444444445,0.4126984126984127,0.16417910447761208
P14,0.5789473684210527,0.5852272727272727,0.3502024291497976,0.29261363636363635,0.6895376092051992,0.3476394849785408
P15,0.4,0.3888888888888889,0.30952380952380953,0.3888888888888889,0.38571428571428573,0.0625
P16,0.4,0.3076923076923077,0.17391304347826086,0.15384615384615385,0.4521739130434782,0.11111111111111116
P17,0.3333333333333333,0.22344322344322345,0.22777777777777777,0.22344322344322345,0.3468253968253968,-0.2250000000000001
P18,0.45,0.341991341991342,0.3235867446393762,0.341991341991342,0.44502923976608183,0.05579399141630892
P19,0.25,0.19545454545454544,0.1408668730650155,0.19545454545454544,0.20402476780185758,-0.19047619047619047
P20,0.47619047619047616,0.17857142857142858,0.16666666666666666,0.17857142857142858,0.44444444444444436,-0.1159420289855071
P21,0.45,0.2606837606837607,0.20545454545454545,0.1955128205128205,0.4705454545454545,-0.037735849056603765
P22,0.09523809523809523,0.05,0.045454545454545456,0.025,0.17316017316017318,0.0
P23,0.23809523809523808,0.19375,0.16517857142857142,0.19375,0.2108843537414966,-0.024390243902439046
P24,0.6666666666666666,0.4619047619047619,0.38666666666666666,0.3464285714285714,0.7453968253968254,0.43243243243243235
P25,0.47619047619047616,0.25,0.16666666666666666,0.125,0.6349206349206349,0.03347280334728042
P26,0.6190476190476191,0.39285714285714285,0.33850931677018636,0.39285714285714285,0.5258799171842651,0.36842105263157887
P27,0.45454545454545453,0.39166666666666666,0.3068181818181818,0.29375,0.5289256198347108,0.17757009345794383
P28,0.14285714285714285,0.08823529411764706,0.07142857142857142,0.04411764705882353,0.2312925170068027,-0.05882352941176472
P29,0.4090909090909091,0.4090909090909091,0.19354838709677422,0.13636363636363638,0.5806451612903226,0.0
P30,0.47619047619047616,0.25,0.16129032258064516,0.125,0.6144393241167434,-0.07441860465116279
P31,0.5217391304347826,0.503030303030303,0.393939393939394,0.503030303030303,0.44551101072840205,0.2142857142857143
