subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.19047619047619047,0.393939393939394,0.12955465587044535,0.29545454545454547,0.1812222864854444,0.07272727272727264
P02,0.5714285714285714,0.5394736842105263,0.4457478005865103,0.5394736842105263,0.6594051110180142,0.03076923076923066
P03,0.3333333333333333,0.35064935064935066,0.22875816993464052,0.23376623376623376,0.3453159041394336,-0.19337016574585641
P04,0.631578947368421,0.35294117647058826,0.3870967741935484,0.35294117647058826,0.6926994906621392,-0.17699115044247793
P05,0.4444444444444444,0.6464646464646464,0.5040849673202614,0.6464646464646464,0.42306644880174293,0.10447761194029859
P06,0.55,0.5294117647058824,0.2349137931034483,0.3970588235294118,0.5987068965517242,0.04761904761904756
P07,0.3333333333333333,0.40789473684210525,0.15384615384615385,0.20394736842105263,0.4322344322344323,-0.027972027972027913
P08,0.85,0.3333333333333333,0.24285714285714285,0.25,0.8257142857142856,0.36170212765957455
P09,0.5,0.5416666666666666,0.4949494949494949,0.5416666666666666,0.48484848484848475,0.07407407407407418
P10,0.5263157894736842,0.6142857142857143,0.5210084033613445,0.6142857142857143,0.5448916408668731,0.1576354679802957
P11,0.8,0.7450980392156863,0.6875,0.7450980392156863,0.81875,0.3846153846153846
P12,0.2631578947368421,0.35416666666666663,0.25,0.35416666666666663,0.17543859649122806,0.06338028169014087
P13,0.35714285714285715,0.4166666666666667,0.20833333333333334,0.2777777777777778,0.26785714285714285,0.07352941176470595
P14,0.42105263157894735,0.36363636363636365,0.2962962962962963,0.36363636363636365,0.34307992202729043,-0.29813664596273304
P15,0.65,0.5277777777777778,0.5378917378917379,0.5277777777777778,0.6304273504273505,0.326923076923077
P16,0.65,0.532967032967033,0.3796296296296296,0.3553113553113553,0.6652777777777777,0.3364928909952607
P17,0.5238095238095238,0.39194139194139194,0.35714285714285715,0.39194139194139194,0.520408163265306,0.14634146341463405
P18,0.55,0.35064935064935066,0.23776223776223776,0.262987012987013,0.48671328671328673,0.13043478260869568
P19,0.25,0.25,0.10416666666666667,0.25,0.10416666666666667,-0.020408163265306145
P20,0.6190476190476191,0.3392857142857143,0.3602150537634409,0.3392857142857143,0.579621095750128,0.134020618556701
P21,0.5,0.2863247863247863,0.27777777777777773,0.2863247863247863,0.4833333333333333,-0.098901098901099
P22,0.38095238095238093,0.2,0.19047619047619047,0.13333333333333333,0.5442176870748299,0.028469750889679735
P23,0.3333333333333333,0.2375,0.1778846153846154,0.2375,0.23534798534798534,-0.042553191489361764
P24,0.5714285714285714,0.2857142857142857,0.24242424242424243,0.2857142857142857,0.48484848484848486,-0.10526315789473695
P25,0.8095238095238095,0.425,0.2982456140350877,0.2833333333333333,0.8521303258145364,-0.03703703703703698
P26,0.47619047619047616,0.2857142857142857,0.21853146853146854,0.2857142857142857,0.3573093573093573,0.11153846153846159
P27,0.7272727272727273,0.425,0.42265795206971674,0.425,0.6999405822935234,0.25
P28,0.23809523809523808,0.3382352941176471,0.23636363636363636,0.3382352941176471,0.2588744588744588,-0.15068493150684925
P29,0.6818181818181818,0.6818181818181818,0.2702702702702703,0.22727272727272727,0.8108108108108109,0.0
P30,0.7619047619047619,0.4,0.2882882882882883,0.26666666666666666,0.8236808236808237,-0.0714285714285714
P31,0.34782608695652173,0.24545454545454545,0.20833333333333334,0.24545454545454545,0.29347826086956524,-0.2234042553191491
