subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.14285714285714285,0.2272727272727273,0.13247863247863248,0.17045454545454547,0.18233618233618237,0.06666666666666665
P02,0.42857142857142855,0.23684210526315788,0.16071428571428573,0.11842105263157894,0.5816326530612246,0.0
P03,0.5555555555555556,0.5584415584415584,0.37719298245614036,0.3722943722943723,0.5804093567251462,0.16763005780346818
P04,0.15789473684210525,0.08823529411764706,0.07142857142857142,0.04411764705882353,0.2556390977443609,-0.08960573476702516
P05,0.3888888888888889,0.3131313131313131,0.24285714285714285,0.23484848484848483,0.43492063492063493,0.13157894736842113
P06,0.3,0.11764705882352942,0.11538461538461539,0.08823529411764706,0.39230769230769236,-0.16666666666666674
P07,0.3333333333333333,0.631578947368421,0.2341269841269841,0.42105263157894735,0.4041950113378685,0.08695652173913049
P08,0.35,0.43137254901960786,0.19055944055944057,0.3235294117647059,0.41713286713286707,0.11262798634812288
P09,0.4,0.375,0.22619047619047616,0.1875,0.47619047619047616,0.07692307692307687
P10,0.3684210526315789,0.37857142857142856,0.19696969696969696,0.18928571428571428,0.42264752791068577,-0.06542056074766345
P11,0.55,0.7352941176470589,0.3951515151515152,0.4901960784313726,0.6258181818181818,0.25
P12,0.3684210526315789,0.2875,0.26136363636363635,0.2875,0.37799043062200954,0.11969111969111956
P13,0.35714285714285715,0.3958333333333333,0.2792022792022792,0.2638888888888889,0.3907203907203907,0.136986301369863
P14,0.47368421052631576,0.5113636363636364,0.27647058823529413,0.2556818181818182,0.5287925696594428,0.22448979591836737
P15,0.3,0.38888888888888884,0.2888888888888889,0.38888888888888884,0.27999999999999997,0.05405405405405406
P16,0.3,0.23076923076923078,0.15,0.11538461538461539,0.39,0.07284768211920534
P17,0.3333333333333333,0.24542124542124544,0.251984126984127,0.24542124542124544,0.360827664399093,-0.0888888888888888
P18,0.7,0.7835497835497836,0.6802197802197801,0.7835497835497836,0.7113736263736263,0.5180722891566265
P19,0.35,0.3431818181818182,0.28198529411764706,0.3431818181818182,0.32786764705882354,0.04761904761904756
P20,0.5238095238095238,0.19642857142857142,0.1774193548387097,0.19642857142857142,0.4731182795698925,-0.0769230769230771
P21,0.4,0.235042735042735,0.24222222222222223,0.235042735042735,0.41400000000000003,-0.16504854368932032
P22,0.19047619047619047,0.1,0.08333333333333333,0.05,0.31746031746031744,0.011080332409972304
P23,0.09523809523809523,0.0625,0.058823529411764705,0.0625,0.0896358543417367,-0.2507836990595611
P24,0.5238095238095238,0.3047619047619048,0.30395913154533843,0.3047619047619048,0.5126801678525816,-0.014492753623188248
P25,0.38095238095238093,0.2,0.14285714285714285,0.1,0.5442176870748299,0.028469750889679735
P26,0.5714285714285714,0.4186507936507936,0.39891304347826084,0.4186507936507936,0.5267080745341615,0.32014388489208634
P27,0.36363636363636365,0.16666666666666666,0.14285714285714285,0.125,0.41558441558441556,-0.19844357976653715
P28,0.5714285714285714,0.4485294117647059,0.260752688172043,0.22426470588235295,0.6379928315412187,0.03076923076923066
P29,0.5909090909090909,0.5909090909090909,0.37142857142857144,0.29545454545454547,0.7428571428571428,0.0
P30,0.6190476190476191,0.325,0.2549019607843137,0.21666666666666667,0.7282913165266106,-0.08387096774193536
P31,0.6521739130434783,0.7363636363636363,0.6586080586080586,0.7363636363636363,0.6118490205446727,0.39869281045751637
