subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.047619047619047616,0.16666666666666666,0.05555555555555555,0.125,0.021164021164021163,-0.009615384615384581
P02,0.6190476190476191,0.7894736842105263,0.5333333333333333,0.7894736842105263,0.6952380952380951,0.2075471698113207
P03,0.2222222222222222,0.2857142857142857,0.18181818181818182,0.2857142857142857,0.1414141414141414,-0.3548387096774195
P04,0.631578947368421,0.7941176470588236,0.3101851851851852,0.3970588235294118,0.7153996101364521,0.25698324022346364
P05,0.6111111111111112,0.4595959595959596,0.33272058823529416,0.3446969696969697,0.6397058823529412,0.36040609137055835
P06,0.5,0.5098039215686274,0.280952380952381,0.5098039215686274,0.5564285714285714,0.019607843137255054
P07,0.23809523809523808,0.5789473684210527,0.23636363636363636,0.5789473684210527,0.2658008658008658,0.0344827586206895
P08,0.6,0.23529411764705885,0.2,0.17647058823529413,0.68,0.06432748538011679
P09,0.55,0.5416666666666667,0.28431372549019607,0.27083333333333337,0.5882352941176471,0.18181818181818177
P10,0.5263157894736842,0.6142857142857143,0.2857142857142857,0.30714285714285716,0.5714285714285715,0.2155963302752293
P11,0.6,0.35294117647058826,0.25806451612903225,0.23529411764705885,0.6580645161290322,-0.06666666666666665
P12,0.21052631578947367,0.25,0.14285714285714285,0.25,0.12030075187969924,-0.059479553903345916
P13,0.42857142857142855,0.4791666666666667,0.31216931216931215,0.3194444444444445,0.4331065759637188,0.19999999999999996
P14,0.3157894736842105,0.35795454545454547,0.2222222222222222,0.23863636363636365,0.30701754385964913,0.027559055118110187
P15,0.15,0.25,0.07894736842105263,0.1875,0.06315789473684211,-0.10389610389610393
P16,0.55,0.4230769230769231,0.29333333333333333,0.28205128205128205,0.572,0.2622950819672131
P17,0.19047619047619047,0.12454212454212454,0.10389610389610389,0.09340659340659341,0.21645021645021642,-0.31734317343173424
P18,0.6,0.38095238095238093,0.3277777777777778,0.38095238095238093,0.49083333333333334,0.1304347826086958
P19,0.25,0.22272727272727275,0.12662337662337664,0.22272727272727275,0.16948051948051948,-0.06382978723404253
P20,0.6190476190476191,0.23214285714285715,0.19696969696969696,0.23214285714285715,0.5252525252525252,0.0117647058823529
P21,0.45,0.23076923076923075,0.2222222222222222,0.23076923076923075,0.4333333333333333,-0.14583333333333348
P22,0.19047619047619047,0.1,0.1111111111111111,0.06666666666666667,0.31746031746031744,0.005571030640668551
P23,0.38095238095238093,0.2875,0.2311111111111111,0.2875,0.2886772486772487,0.04210526315789476
P24,0.42857142857142855,0.35714285714285715,0.2688888888888889,0.35714285714285715,0.4425396825396826,0.05617977528089879
P25,0.5238095238095238,0.275,0.22916666666666666,0.18333333333333335,0.6547619047619048,-0.044776119402985204
P26,0.6666666666666666,0.5089285714285714,0.48315217391304344,0.5089285714285714,0.6115942028985508,0.47122302158273377
P27,0.6363636363636364,0.33749999999999997,0.26523297491039427,0.253125,0.660475724991854,0.2142857142857143
P28,0.42857142857142855,0.6470588235294118,0.291866028708134,0.43137254901960786,0.44816586921850077,0.14864864864864857
P29,0.45454545454545453,0.45454545454545453,0.20833333333333334,0.15151515151515152,0.625,0.0
P30,0.8095238095238095,0.425,0.4473684210526316,0.425,0.8521303258145364,-0.07692307692307687
P31,0.43478260869565216,0.3090909090909091,0.2793650793650793,0.3090909090909091,0.3892339544513458,-0.03103448275862064
