subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.047619047619047616,0.16666666666666666,0.038461538461538464,0.125,0.014652014652014652,-0.021897810218978186
P02,0.5238095238095238,0.513157894736842,0.22916666666666666,0.256578947368421,0.626984126984127,0.045454545454545414
P03,0.3333333333333333,0.4025974025974026,0.20634920634920637,0.2683982683982684,0.27248677248677244,-0.11917098445595853
P04,0.42105263157894735,0.45588235294117646,0.21726190476190477,0.22794117647058823,0.5520050125313284,0.09913793103448276
P05,0.6111111111111112,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.6111111111111112,0.24096385542168663
P06,0.5,0.19607843137254902,0.16666666666666666,0.14705882352941177,0.5666666666666667,-0.149425287356322
P07,0.2857142857142857,0.381578947368421,0.14545454545454545,0.1907894736842105,0.37922077922077924,-0.01941747572815533
P08,0.45,0.17647058823529413,0.16666666666666666,0.1323529411764706,0.5666666666666667,-0.01851851851851838
P09,0.6,0.5833333333333333,0.3333333333333333,0.29166666666666663,0.6857142857142857,0.34426229508196715
P10,0.15789473684210525,0.17142857142857143,0.1442495126705653,0.11428571428571428,0.21360418590335487,-0.12177121771217703
P11,0.4,0.23529411764705882,0.16,0.11764705882352941,0.544,0.024390243902439046
P12,0.21052631578947367,0.175,0.15,0.175,0.21052631578947367,-0.0674157303370786
P13,0.35714285714285715,0.3958333333333333,0.2094017094017094,0.19791666666666666,0.3907203907203907,0.136986301369863
P14,0.2631578947368421,0.26136363636363635,0.165158371040724,0.13068181818181818,0.3338890211955228,-0.04313725490196063
P15,0.3,0.4444444444444445,0.22893772893772893,0.33333333333333337,0.2446886446886447,0.11392405063291144
P16,0.35,0.30219780219780223,0.19886363636363635,0.15109890109890112,0.4420454545454545,0.05797101449275366
P17,0.5714285714285714,0.7032967032967034,0.45217391304347826,0.5274725274725275,0.5863354037267081,0.25296442687747034
P18,0.7,0.49350649350649345,0.375,0.3701298701298701,0.6916666666666667,0.4545454545454546
P19,0.25,0.19545454545454544,0.14144736842105263,0.19545454545454544,0.21644736842105267,-0.09890109890109877
P20,0.6190476190476191,0.3392857142857143,0.3735632183908046,0.3392857142857143,0.615216201423098,0.23287671232876717
P21,0.4,0.235042735042735,0.235042735042735,0.235042735042735,0.4,-0.23711340206185572
P22,0.3333333333333333,0.175,0.12962962962962962,0.0875,0.49382716049382713,0.019999999999999907
P23,0.2857142857142857,0.225,0.18859649122807015,0.225,0.239766081871345,0.0
P24,0.3333333333333333,0.16666666666666666,0.1794871794871795,0.16666666666666666,0.358974358974359,-0.15294117647058836
P25,0.7142857142857143,0.375,0.20833333333333334,0.1875,0.7936507936507937,-0.04132231404958686
P26,0.5714285714285714,0.39186507936507936,0.3772893772893773,0.39186507936507936,0.5347985347985348,0.32258064516129026
P27,0.36363636363636365,0.16666666666666666,0.13793103448275862,0.125,0.4012539184952978,-0.2833333333333332
P28,0.38095238095238093,0.6176470588235294,0.26031746031746034,0.411764705882353,0.38458049886621315,0.1165048543689321
P29,0.5909090909090909,0.5909090909090909,0.18571428571428572,0.14772727272727273,0.7428571428571428,0.0
P30,0.6666666666666666,0.35,0.26666666666666666,0.2333333333333333,0.7619047619047619,-0.0808823529411764
P31,0.43478260869565216,0.3090909090909091,0.2793650793650793,0.3090909090909091,0.3892339544513458,-0.03103448275862064
