subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.047619047619047616,0.16666666666666666,0.027777777777777776,0.125,0.010582010582010581,-0.02689486552567244
P02,0.6190476190476191,0.7894736842105263,0.5333333333333333,0.7894736842105263,0.6952380952380951,0.2075471698113207
P03,0.5555555555555556,0.5844155844155844,0.5555555555555556,0.5844155844155844,0.5555555555555556,0.15294117647058825
P04,0.3157894736842105,0.3970588235294118,0.1590909090909091,0.1985294117647059,0.4258373205741626,0.042635658914728536
P05,0.5,0.398989898989899,0.27389705882352944,0.29924242424242425,0.4959150326797385,0.18181818181818177
P06,0.55,0.21568627450980393,0.24444444444444444,0.21568627450980393,0.6233333333333333,-0.046511627906976605
P07,0.19047619047619047,0.5526315789473684,0.10025062656641603,0.2763157894736842,0.19238572622031264,0.032520325203251876
P08,0.35,0.43137254901960786,0.2803030303030303,0.3235294117647059,0.453030303030303,0.15309446254071657
P09,0.25,0.3125,0.14492753623188406,0.20833333333333334,0.17391304347826086,-0.11940298507462677
P10,0.21052631578947367,0.3357142857142857,0.13921568627450978,0.2238095238095238,0.16563467492260062,-0.16803278688524603
P11,0.4,0.5098039215686274,0.2691511387163561,0.3398692810457516,0.48633540372670814,0.09433962264150941
P12,0.3157894736842105,0.2625,0.19047619047619047,0.2625,0.2957393483709273,0.057251908396946605
P13,0.5714285714285714,0.6041666666666667,0.404040404040404,0.40277777777777785,0.5974025974025974,0.288135593220339
P14,0.3684210526315789,0.3522727272727273,0.32954545454545453,0.23484848484848486,0.5149521531100479,0.1914893617021276
P15,0.3,0.4444444444444445,0.30036630036630035,0.4444444444444445,0.2417582417582418,0.10256410256410253
P16,0.2,0.15384615384615385,0.10526315789473684,0.07692307692307693,0.27368421052631575,0.006211180124223725
P17,0.38095238095238093,0.27106227106227104,0.25677830940988833,0.27106227106227104,0.38664843928001824,-0.13749999999999996
P18,0.55,0.5216450216450216,0.45520421607378125,0.3912337662337662,0.5923583662714098,0.24369747899159666
P19,0.45,0.31363636363636366,0.25,0.31363636363636366,0.4166666666666667,0.1472868217054264
P20,0.6666666666666666,0.25,0.20588235294117646,0.25,0.5490196078431373,0.07547169811320753
P21,0.6,0.3076923076923077,0.25,0.3076923076923077,0.4875,-0.08843537414965974
P22,0.09523809523809523,0.05,0.045454545454545456,0.025,0.17316017316017318,-0.002512562814070307
P23,0.3333333333333333,0.21875,0.125,0.21875,0.19047619047619047,-0.0652173913043479
P24,0.42857142857142855,0.35714285714285715,0.2657342657342658,0.35714285714285715,0.42757242757242764,0.0117647058823529
P25,0.5238095238095238,0.275,0.22916666666666666,0.18333333333333335,0.6547619047619048,-0.050000000000000044
P26,0.3333333333333333,0.22916666666666666,0.213768115942029,0.22916666666666666,0.28709454796411316,-0.035211267605633756
P27,0.5454545454545454,0.25,0.23529411764705885,0.25,0.5133689839572193,-0.25
P28,0.2857142857142857,0.5588235294117647,0.2791762013729977,0.5588235294117647,0.23667865315462566,0.048338368580060465
P29,0.5454545454545454,0.5454545454545454,0.23529411764705885,0.1818181818181818,0.7058823529411765,0.0
P30,0.7619047619047619,0.875,0.3968253968253968,0.5833333333333334,0.8321995464852607,0.2279411764705882
P31,0.30434782608695654,0.2212121212121212,0.16195652173913044,0.1659090909090909,0.29678638941398866,-0.23905723905723897
