,accuracy_mean,accuracy_std,balanced_accuracy_mean,macro_f1_mean,macro_f1_std,macro_recall_mean,weighted_f1_mean,cohen_kappa_mean,session_accuracy,session_balanced_accuracy,session_macro_f1,session_cohen_kappa,n_sessions
Baseline,0.051644139674699954,0.11143919170533667,0.09408602150537634,0.02370883752370428,0.047873757751127205,0.09408602150537634,0.021714552702040705,0.0,0.06451612903225806,0.25,0.030303030303030304,0.0,93.0
RandomForest,0.5117642857622188,0.19550695614778996,0.42003166688887755,0.30533310465972485,0.1473899511559569,0.3812202278202727,0.477188898824211,0.049105206037691536,0.5376344086021505,0.23646723646723647,0.19182194616977227,-0.030935808197989134,93.0
LogisticRegression,0.3497852061408569,0.12885953713372766,0.31219771169773664,0.1945737673600569,0.08564122730688352,0.19572288351843684,0.41896956944013625,-0.012548601711721523,0.3763440860215054,0.20192307692307693,0.20396551724137932,-0.0303724928366762,93.0
XGBoost,0.5110795710854764,0.1782263178677553,0.4126777693715675,0.30945188895044573,0.13398909915950957,0.3534706521548628,0.5039940997921439,0.0447935664129461,0.5698924731182796,0.2653133903133903,0.23438767234387672,0.04786281034041462,93.0
conformer_fusion,0.42022194442287447,0.1626250637411418,0.3420919385440508,0.22450387639605524,0.09317906912891244,0.23295722768470692,0.46017723533799165,0.031492899707327576,0.44086021505376344,0.2557997557997558,0.2531479229592437,-0.005614472863381348,93.0
tiny_tcn_fusion,0.39964760598849336,0.1735205707751535,0.36782052850663655,0.23758472790308077,0.10862970691581264,0.28304610239345085,0.4122704258833884,0.04170553721871029,0.41935483870967744,0.2216117216117216,0.20978234287111763,-0.07147429059099641,93.0
bilstm_fusion,0.40777462697075895,0.14914470986913392,0.35692734989524166,0.25513693925374376,0.1407689864075901,0.26737309194240183,0.4566192618776221,0.05339209949425134,0.3978494623655914,0.24323361823361822,0.24555327838197677,-0.02661147250147855,93.0
cnn1d_fusion,0.44724723002201416,0.18256343218353013,0.3865034137217799,0.25166566884934566,0.10641756346092007,0.30424972299441744,0.45657585465529416,0.052793541547323616,0.5161290322580645,0.28322140822140823,0.2780068884256322,0.07308970099667766,93.0
multistream_fusion,0.4048204524656876,0.16823439147903646,0.3792299659266352,0.2471991429643493,0.12311915617441428,0.2997612968968956,0.4177893967889524,0.03342815783315472,0.40860215053763443,0.211996336996337,0.1984558639659915,-0.16621067031463732,93.0
DANN_Conformer,0.44568782553945313,0.15877755564172755,0.3760484119423748,0.25680255467412993,0.11126430791986719,0.27509348683790663,0.4798521795905674,0.06506252864719611,0.4838709677419355,0.2854599104599105,0.26612104344544557,0.0631689401888772,93.0
TSTCC,0.3969020526154947,0.1456533750999113,0.3142675336941541,0.21600955983576753,0.09128473296959766,0.22156702093971148,0.43853886884091764,0.025615366853967415,0.5268817204301075,0.370929995929996,0.37286862334032145,0.17350030296909724,93.0
Ensemble,0.48893912285069,0.2035992711893102,0.40106394563912284,0.28281141732581705,0.1419751209768327,0.3333110467048847,0.48151205274712594,0.05538567144485143,0.5268817204301075,0.23682336182336183,0.2023327549643339,-0.013372956909361244,93.0
