subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.0,0.0,0.0,0.0,0.0,-0.042553191489361764
P02,0.6190476190476191,0.34210526315789475,0.2708333333333333,0.2280701754385965,0.7351190476190477,0.08695652173913049
P03,0.3333333333333333,0.42857142857142855,0.17391304347826086,0.2857142857142857,0.20289855072463767,-0.07462686567164178
P04,0.42105263157894735,0.45588235294117646,0.20833333333333334,0.22794117647058823,0.5482456140350878,0.09130434782608687
P05,0.2777777777777778,0.5555555555555555,0.25210084033613445,0.5555555555555555,0.17273576097105506,0.02904564315352698
P06,0.55,0.21568627450980393,0.1774193548387097,0.16176470588235295,0.603225806451613,-0.13924050632911422
P07,0.14285714285714285,0.5263157894736842,0.09682539682539681,0.3508771929824561,0.10861678004535147,0.015625
P08,0.35,0.43137254901960786,0.19960474308300397,0.3235294117647059,0.4059288537549407,0.06474820143884885
P09,0.3,0.3125,0.19433198380566802,0.15625,0.374089068825911,-0.014492753623188248
P10,0.3157894736842105,0.4714285714285714,0.21878224974200208,0.3142857142857143,0.28417793710281897,0.008032128514056214
P11,0.55,0.7352941176470589,0.41333333333333333,0.4901960784313726,0.634,0.2592592592592593
P12,0.2631578947368421,0.275,0.16346153846153846,0.275,0.18623481781376516,0.032727272727272716
P13,0.5,0.5625,0.32407407407407407,0.375,0.44841269841269843,0.234375
P14,0.21052631578947367,0.23295454545454547,0.1488095238095238,0.11647727272727273,0.2769423558897243,0.056291390728476776
P15,0.4,0.5,0.3974025974025974,0.5,0.3984415584415585,0.18918918918918926
P16,0.25,0.19230769230769232,0.1388888888888889,0.09615384615384616,0.3611111111111111,0.10447761194029848
P17,0.5238095238095238,0.326007326007326,0.3247863247863248,0.326007326007326,0.5152625152625153,0.02777777777777768
P18,0.55,0.5043290043290044,0.5012121212121213,0.5043290043290044,0.5292727272727272,0.1588785046728971
P19,0.25,0.325,0.25757575757575757,0.325,0.15757575757575756,-0.030927835051546282
P20,0.7142857142857143,0.375,0.37254901960784315,0.375,0.6125116713352008,0.2075471698113207
P21,0.4,0.20512820512820515,0.19753086419753085,0.20512820512820515,0.3851851851851852,-0.25
P22,0.14285714285714285,0.075,0.0625,0.0375,0.23809523809523808,-0.047091412742382266
P23,0.23809523809523808,0.175,0.13257575757575757,0.175,0.1782106782106782,-0.1428571428571428
P24,0.38095238095238093,0.3333333333333333,0.19,0.25,0.3923809523809524,-0.026315789473684292
P25,0.47619047619047616,0.25,0.2222222222222222,0.16666666666666666,0.6349206349206349,0.04149377593360992
P26,0.38095238095238093,0.2648809523809524,0.26265664160401003,0.2648809523809524,0.36954290488125074,0.035335689045936425
P27,0.6363636363636364,0.3833333333333333,0.3792766373411534,0.3833333333333333,0.6456944814716076,0.17370892018779338
P28,0.38095238095238093,0.6176470588235294,0.38095238095238093,0.6176470588235294,0.38095238095238093,0.10491803278688538
P29,0.5909090909090909,0.5909090909090909,0.18571428571428572,0.14772727272727273,0.7428571428571428,0.0
P30,0.7619047619047619,0.4,0.2222222222222222,0.2,0.8465608465608466,0.12499999999999989
P31,0.4782608695652174,0.3393939393939394,0.29523809523809524,0.3393939393939394,0.4111801242236024,0.014285714285714235
