subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.6190476190476191,0.6333333333333333,0.5961538461538461,0.6333333333333333,0.6373626373626374,0.22222222222222232
P02,0.6190476190476191,0.6666666666666666,0.5961538461538461,0.6666666666666666,0.5824175824175823,0.29999999999999993
P03,0.5,0.512987012987013,0.4984520123839009,0.512987012987013,0.5046439628482973,0.02409638554216864
P04,0.6842105263157895,0.8,0.6607142857142857,0.8,0.7124060150375939,0.3870967741935484
P05,0.8888888888888888,0.9166666666666667,0.8831168831168831,0.9166666666666667,0.8917748917748918,0.7692307692307692
P06,0.55,0.55,0.5396419437340154,0.55,0.5396419437340153,0.09999999999999998
P07,0.6190476190476191,0.6428571428571428,0.6111111111111112,0.6428571428571428,0.6296296296296295,0.25
P08,0.8,0.8,0.797979797979798,0.8,0.7979797979797979,0.6
P09,0.4,0.38095238095238093,0.375,0.38095238095238093,0.425,-0.19999999999999996
P10,0.7894736842105263,0.7777777777777778,0.7738095238095238,0.7777777777777778,0.7769423558897244,0.5681818181818181
P11,0.75,0.84375,0.7150997150997151,0.84375,0.7749287749287749,0.46808510638297873
P12,0.47368421052631576,0.4666666666666667,0.4602272727272727,0.4666666666666667,0.464712918660287,-0.0674157303370786
P13,0.9285714285714286,0.9285714285714286,0.9282051282051282,0.9285714285714286,0.9282051282051282,0.8571428571428572
P14,0.3157894736842105,0.375,0.24,0.375,0.20210526315789473,-0.21674876847290614
P15,0.55,0.6041666666666666,0.5396419437340154,0.6041666666666666,0.5258312020460358,0.18181818181818177
P16,0.5,0.59375,0.4791666666666667,0.59375,0.5416666666666667,0.1071428571428571
P17,0.6190476190476191,0.6201923076923077,0.6111111111111112,0.6201923076923077,0.6243386243386243,0.22935779816513768
P18,0.7,0.7070707070707071,0.7,0.7070707070707071,0.7,0.40594059405940597
P19,0.65,0.4642857142857143,0.3939393939393939,0.4642857142857143,0.5515151515151515,-0.09375
P20,0.6190476190476191,0.6090909090909091,0.5961538461538461,0.6090909090909091,0.6007326007326007,0.22222222222222232
P21,0.55,0.4791666666666667,0.4357366771159875,0.4791666666666667,0.48652037617554866,-0.04651162790697683
P22,0.38095238095238093,0.5220588235294118,0.37528604118993136,0.5220588235294118,0.4121172496458537,0.02150537634408589
P23,0.7142857142857143,0.8421052631578947,0.60625,0.8421052631578947,0.7732142857142857,0.2921348314606742
P24,0.6190476190476191,0.6272727272727273,0.6111111111111112,0.6272727272727273,0.6084656084656085,0.25
P25,0.8095238095238095,0.8571428571428572,0.8055555555555556,0.8571428571428572,0.814814814814815,0.625
P26,0.45454545454545453,0.5178571428571428,0.45,0.5178571428571428,0.43636363636363645,0.02941176470588236
P27,0.45454545454545453,0.5178571428571428,0.45,0.5178571428571428,0.43636363636363645,0.02941176470588236
P28,0.5652173913043478,0.571969696969697,0.5576923076923077,0.571969696969697,0.5551839464882944,0.14179104477611937
