subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.5714285714285714,0.5,0.49867374005305043,0.5,0.5805229253505116,0.0
P02,0.6190476190476191,0.6527777777777778,0.6111111111111112,0.6527777777777778,0.6031746031746033,0.28205128205128205
P03,0.5,0.487012987012987,0.4857142857142857,0.487012987012987,0.5047619047619047,-0.025316455696202445
P04,0.631578947368421,0.7666666666666666,0.6144927536231883,0.7666666666666666,0.6614797864225782,0.3248730964467005
P05,0.8333333333333334,0.875,0.8285714285714285,0.875,0.8380952380952381,0.6666666666666667
P06,0.6,0.6,0.595959595959596,0.6,0.5959595959595959,0.19999999999999996
P07,0.9047619047619048,0.9285714285714286,0.8990384615384616,0.9285714285714286,0.907051282051282,0.8
P08,0.95,0.95,0.949874686716792,0.95,0.949874686716792,0.9
P09,0.55,0.6309523809523809,0.5488721804511278,0.6309523809523809,0.5578947368421053,0.1964285714285714
P10,0.7368421052631579,0.7277777777777779,0.7246376811594203,0.7277777777777779,0.7276887871853547,0.46327683615819215
P11,0.8,0.875,0.7619047619047619,0.875,0.819047619047619,0.5454545454545454
P12,0.5263157894736842,0.5333333333333333,0.5210084033613445,0.5333333333333333,0.5183547103051748,0.06557377049180335
P13,0.9285714285714286,0.9285714285714286,0.9282051282051282,0.9285714285714286,0.9282051282051282,0.8571428571428572
P14,0.5789473684210527,0.6022727272727273,0.5777777777777777,0.6022727272727273,0.5742690058479533,0.19148936170212771
P15,0.8,0.8333333333333333,0.8,0.8333333333333333,0.8,0.6153846153846154
P16,0.35,0.5,0.3483709273182957,0.5,0.36791979949874687,0.0
P17,0.7619047619047619,0.7836538461538461,0.7597254004576659,0.7836538461538461,0.7651738040754059,0.5291479820627802
P18,0.9,0.8888888888888888,0.8958333333333333,0.8888888888888888,0.8979166666666666,0.7938144329896907
P19,0.55,0.44047619047619047,0.4357366771159875,0.44047619047619047,0.5373040752351097,-0.125
P20,0.7142857142857143,0.7090909090909091,0.7083333333333333,0.7090909090909091,0.7103174603174602,0.42201834862385323
P21,0.75,0.75,0.7442455242966752,0.75,0.751918158567775,0.4897959183673469
P23,0.3333333333333333,0.30147058823529416,0.2932692307692308,0.30147058823529416,0.39743589743589747,-0.2250000000000001
P24,0.5714285714285714,0.763157894736842,0.49867374005305043,0.763157894736842,0.6532777567260326,0.1746724890829695
P25,0.7142857142857143,0.7045454545454546,0.6971153846153846,0.7045454545454546,0.7005494505494505,0.41666666666666674
P26,0.8095238095238095,0.8571428571428572,0.8055555555555556,0.8571428571428572,0.814814814814815,0.625
P27,0.6818181818181818,0.6696428571428572,0.6644880174291938,0.6696428571428572,0.6852842146959794,0.33043478260869563
P29,0.5909090909090909,0.6517857142857143,0.5900621118012422,0.6517857142857143,0.5849802371541503,0.2556390977443609
P31,0.6086956521739131,0.6136363636363636,0.6057142857142856,0.6136363636363636,0.604223602484472,0.2247191011235955
