subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.5714285714285714,0.5,0.49867374005305043,0.5,0.5805229253505116,0.0
P02,0.5714285714285714,0.5833333333333333,0.5714285714285714,0.5833333333333333,0.5714285714285714,0.15999999999999992
P03,0.5,0.487012987012987,0.4857142857142857,0.487012987012987,0.5047619047619047,-0.025316455696202445
P04,0.631578947368421,0.7666666666666666,0.6144927536231883,0.7666666666666666,0.6614797864225782,0.3248730964467005
P05,0.8333333333333334,0.875,0.8285714285714285,0.875,0.8380952380952381,0.6666666666666667
P06,0.55,0.55,0.5396419437340154,0.55,0.5396419437340153,0.09999999999999998
P07,0.9047619047619048,0.9285714285714286,0.8990384615384616,0.9285714285714286,0.907051282051282,0.8
P08,0.95,0.95,0.949874686716792,0.95,0.949874686716792,0.9
P09,0.55,0.6309523809523809,0.5488721804511278,0.6309523809523809,0.5578947368421053,0.1964285714285714
P10,0.7894736842105263,0.7833333333333333,0.7840909090909092,0.7833333333333333,0.7858851674641149,0.5730337078651686
P11,0.8,0.875,0.7619047619047619,0.875,0.819047619047619,0.5454545454545454
P12,0.42105263157894735,0.4277777777777778,0.4145658263305322,0.4277777777777778,0.41132242370632466,-0.14207650273224037
P13,0.9285714285714286,0.9285714285714286,0.9282051282051282,0.9285714285714286,0.9282051282051282,0.8571428571428572
P14,0.631578947368421,0.6477272727272727,0.631578947368421,0.6477272727272727,0.631578947368421,0.2810810810810811
P15,0.8,0.8125,0.797979797979798,0.8125,0.8020202020202021,0.6
P16,0.35,0.5,0.3483709273182957,0.5,0.36791979949874687,0.0
P17,0.8095238095238095,0.8221153846153846,0.8055555555555556,0.8221153846153846,0.8121693121693122,0.6146788990825689
P18,0.9,0.8888888888888888,0.8958333333333333,0.8888888888888888,0.8979166666666666,0.7938144329896907
P19,0.5,0.40476190476190477,0.40476190476190477,0.40476190476190477,0.5,-0.19047619047619047
P20,0.6190476190476191,0.6181818181818182,0.6181818181818182,0.6181818181818182,0.6190476190476191,0.23636363636363633
P21,0.7,0.7083333333333333,0.696969696969697,0.7083333333333333,0.7030303030303029,0.4
P23,0.3333333333333333,0.30147058823529416,0.2932692307692308,0.30147058823529416,0.39743589743589747,-0.2250000000000001
P24,0.5714285714285714,0.763157894736842,0.49867374005305043,0.763157894736842,0.6532777567260326,0.1746724890829695
P25,0.6666666666666666,0.6545454545454545,0.6370370370370371,0.6545454545454545,0.6419753086419753,0.3162790697674418
P26,0.8095238095238095,0.8571428571428572,0.8055555555555556,0.8571428571428572,0.814814814814815,0.625
P27,0.8181818181818182,0.7767857142857143,0.7904761904761906,0.7767857142857143,0.8112554112554112,0.5849056603773586
P29,0.6363636363636364,0.6875,0.6363636363636364,0.6875,0.6363636363636364,0.32307692307692304
P31,0.6521739130434783,0.6553030303030303,0.6515151515151515,0.6553030303030303,0.6508563899868247,0.30827067669172936
