subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.5714285714285714,0.5,0.49867374005305043,0.5,0.5805229253505116,0.0
P02,0.5714285714285714,0.5833333333333333,0.5714285714285714,0.5833333333333333,0.5714285714285714,0.15999999999999992
P03,0.3333333333333333,0.35064935064935066,0.3333333333333333,0.35064935064935066,0.3333333333333333,-0.2705882352941176
P04,0.631578947368421,0.7666666666666666,0.6144927536231883,0.7666666666666666,0.6614797864225782,0.3248730964467005
P05,0.7777777777777778,0.7916666666666667,0.7662337662337663,0.7916666666666667,0.7835497835497836,0.5384615384615384
P06,0.7,0.7,0.7,0.7,0.7,0.4
P07,0.8095238095238095,0.8571428571428572,0.8055555555555556,0.8571428571428572,0.814814814814815,0.625
P08,0.85,0.8500000000000001,0.849624060150376,0.8500000000000001,0.849624060150376,0.7
P09,0.7,0.7857142857142857,0.696969696969697,0.7857142857142857,0.7090909090909091,0.44444444444444453
P10,0.9473684210526315,0.95,0.9473684210526315,0.95,0.9473684210526315,0.8950276243093923
P11,0.55,0.625,0.52,0.625,0.592,0.15094339622641517
P12,0.42105263157894735,0.41666666666666663,0.4145658263305322,0.41666666666666663,0.4178092289547398,-0.16759776536312865
P13,0.7857142857142857,0.7857142857142857,0.7846153846153847,0.7857142857142857,0.7846153846153846,0.5714285714285714
P14,0.8947368421052632,0.8920454545454546,0.8920454545454546,0.8920454545454546,0.8947368421052632,0.7840909090909091
P15,0.8,0.8125,0.797979797979798,0.8125,0.8020202020202021,0.6
P16,0.4,0.34375,0.34065934065934067,0.34375,0.4593406593406593,-0.19999999999999996
P17,0.8571428571428571,0.8846153846153846,0.8558352402745995,0.8846153846153846,0.8591042824452435,0.7174887892376681
P18,0.75,0.7626262626262625,0.7493734335839599,0.7626262626262625,0.7481203007518797,0.5098039215686274
P19,0.55,0.5357142857142857,0.52,0.5357142857142857,0.5680000000000001,0.0625
P20,0.6666666666666666,0.6681818181818182,0.6666666666666666,0.6681818181818182,0.6666666666666666,0.33484162895927605
P21,0.65,0.6666666666666667,0.6491228070175439,0.6666666666666667,0.6526315789473685,0.3137254901960784
P22,0.42857142857142855,0.2647058823529412,0.3,0.2647058823529412,0.48571428571428565,-0.34042553191489366
P23,0.6666666666666666,0.8157894736842105,0.5689149560117301,0.8157894736842105,0.7350928641251221,0.24615384615384606
P24,0.47619047619047616,0.4772727272727273,0.47619047619047616,0.4772727272727273,0.47619047619047616,-0.045248868778280604
P25,0.8571428571428571,0.8928571428571428,0.851764705882353,0.8928571428571428,0.8611764705882353,0.7096774193548387
P26,0.6363636363636364,0.6071428571428572,0.6071428571428572,0.6071428571428572,0.6363636363636364,0.2142857142857143
P27,0.5454545454545454,0.5089285714285714,0.5089285714285714,0.5089285714285714,0.5454545454545454,0.017857142857142794
P28,0.5217391304347826,0.5227272727272727,0.5217391304347826,0.5227272727272727,0.5217391304347826,0.04528301886792452
