subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.47619047619047616,0.43333333333333335,0.4296296296296296,0.43333333333333335,0.49947089947089945,-0.1159420289855071
P02,0.8095238095238095,0.8194444444444444,0.8090909090909091,0.8194444444444444,0.8103896103896104,0.6216216216216216
P03,0.5,0.512987012987013,0.4984520123839009,0.512987012987013,0.5046439628482973,0.02409638554216864
P04,0.7368421052631579,0.8333333333333333,0.7076923076923077,0.8333333333333333,0.7611336032388664,0.4571428571428572
P05,0.8333333333333334,0.875,0.8285714285714285,0.875,0.8380952380952381,0.6666666666666667
P06,0.7,0.7,0.7,0.7,0.7,0.4
P07,0.8571428571428571,0.8928571428571428,0.851764705882353,0.8928571428571428,0.8611764705882353,0.7096774193548387
P08,0.85,0.85,0.8465473145780051,0.85,0.846547314578005,0.7
P09,0.6,0.6666666666666667,0.595959595959596,0.6666666666666667,0.6121212121212121,0.2592592592592593
P10,0.631578947368421,0.6333333333333333,0.631578947368421,0.6333333333333333,0.631578947368421,0.26519337016574596
P11,0.75,0.75,0.6865203761755485,0.75,0.7711598746081505,0.3902439024390243
P12,0.3684210526315789,0.3666666666666667,0.3666666666666667,0.3666666666666667,0.3684210526315789,-0.26666666666666683
P13,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143
P14,0.8421052631578947,0.8636363636363636,0.8421052631578947,0.8636363636363636,0.8421052631578947,0.6918918918918919
P15,0.7,0.7291666666666667,0.7,0.7291666666666667,0.7,0.42307692307692313
P16,0.6,0.75,0.5833333333333333,0.75,0.6333333333333333,0.2857142857142857
P17,0.7619047619047619,0.8076923076923077,0.7619047619047619,0.8076923076923077,0.7619047619047619,0.5493562231759657
P18,0.9,0.8888888888888888,0.8958333333333333,0.8888888888888888,0.8979166666666666,0.7938144329896907
P19,0.65,0.75,0.6491228070175439,0.75,0.6561403508771929,0.375
P20,0.6190476190476191,0.6136363636363636,0.6111111111111112,0.6136363636363636,0.6137566137566137,0.22935779816513768
P21,0.65,0.6458333333333333,0.6419437340153453,0.6458333333333333,0.6526854219948849,0.2857142857142858
P22,0.42857142857142855,0.45588235294117646,0.3942307692307692,0.45588235294117646,0.48351648351648346,-0.050000000000000044
P23,0.5714285714285714,0.5394736842105263,0.4457478005865103,0.5394736842105263,0.6594051110180142,0.03076923076923066
P24,0.8095238095238095,0.8136363636363637,0.8090909090909091,0.8136363636363637,0.8086580086580087,0.6216216216216216
P25,0.8571428571428571,0.8928571428571428,0.851764705882353,0.8928571428571428,0.8611764705882353,0.7096774193548387
P26,0.6818181818181818,0.6428571428571428,0.6459770114942529,0.6428571428571428,0.676698014629049,0.29357798165137605
P27,0.6818181818181818,0.6964285714285714,0.6757894736842105,0.6964285714285714,0.6878468899521532,0.36363636363636365
P28,0.6521739130434783,0.6553030303030303,0.6515151515151515,0.6553030303030303,0.6508563899868247,0.30827067669172936
