subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.47619047619047616,0.43333333333333335,0.4296296296296296,0.43333333333333335,0.49947089947089945,-0.1159420289855071
P02,0.6190476190476191,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6190476190476191,0.22222222222222232
P03,0.6111111111111112,0.6558441558441558,0.609907120743034,0.6558441558441558,0.6050911592707258,0.27586206896551724
P04,0.7368421052631579,0.8333333333333333,0.7076923076923077,0.8333333333333333,0.7611336032388664,0.4571428571428572
P05,0.9444444444444444,0.9583333333333333,0.939799331103679,0.9583333333333333,0.9453734671125977,0.88
P06,0.35,0.35,0.3350383631713555,0.35,0.3350383631713555,-0.30000000000000004
P07,0.8571428571428571,0.8571428571428571,0.8444444444444444,0.8571428571428571,0.8592592592592593,0.6896551724137931
P08,0.85,0.85,0.8465473145780051,0.85,0.846547314578005,0.7
P09,0.45,0.4642857142857143,0.4373401534526854,0.4642857142857143,0.4710997442455243,-0.05769230769230771
P10,0.42105263157894735,0.4277777777777778,0.4145658263305322,0.4277777777777778,0.41132242370632466,-0.14207650273224037
P11,0.85,0.8125,0.7849462365591398,0.8125,0.8559139784946236,0.5714285714285714
P12,0.3157894736842105,0.3222222222222222,0.3081232492997199,0.3222222222222222,0.30429013710747455,-0.3497267759562841
P13,0.7142857142857143,0.7142857142857143,0.6888888888888889,0.7142857142857143,0.688888888888889,0.4285714285714286
P14,0.6842105263157895,0.6931818181818181,0.6833333333333333,0.6931818181818181,0.6859649122807017,0.37362637362637363
P15,0.55,0.5625,0.5488721804511278,0.5625,0.5533834586466165,0.11764705882352933
P16,0.45,0.65625,0.44862155388471175,0.65625,0.4651629072681704,0.15384615384615385
P17,0.47619047619047616,0.4326923076923077,0.4296296296296296,0.4326923076923077,0.46843033509700177,-0.13793103448275867
P18,0.85,0.8434343434343434,0.8465473145780051,0.8434343434343434,0.848849104859335,0.6938775510204083
P19,0.35,0.25,0.25925925925925924,0.25,0.36296296296296293,-0.47727272727272707
P20,0.47619047619047616,0.48636363636363633,0.4564705882352942,0.48636363636363633,0.45154061624649866,-0.02666666666666684
P21,0.75,0.75,0.7442455242966752,0.75,0.751918158567775,0.4897959183673469
P22,0.14285714285714285,0.08823529411764706,0.125,0.08823529411764706,0.20238095238095238,-0.42105263157894735
P23,0.38095238095238093,0.6578947368421053,0.35764705882352943,0.6578947368421053,0.4566946778711484,0.08080808080808077
P24,0.6190476190476191,0.6090909090909091,0.5961538461538461,0.6090909090909091,0.6007326007326007,0.22222222222222232
P25,0.42857142857142855,0.39285714285714285,0.3942307692307692,0.39285714285714285,0.4423076923076923,-0.19999999999999996
P26,0.45454545454545453,0.4642857142857143,0.45,0.4642857142857143,0.4636363636363636,-0.06451612903225801
P27,0.8181818181818182,0.8303571428571428,0.811965811965812,0.8303571428571428,0.8212898212898213,0.6271186440677966
P28,0.4782608695652174,0.4810606060606061,0.4772727272727273,0.4810606060606061,0.4762845849802371,-0.03759398496240607
