subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.5238095238095238,0.4666666666666667,0.4642857142857143,0.4666666666666667,0.5408163265306123,-0.06060606060606055
P02,0.7142857142857143,0.7361111111111112,0.7136363636363636,0.7361111111111112,0.7116883116883117,0.44736842105263164
P03,0.5,0.512987012987013,0.4984520123839009,0.512987012987013,0.5046439628482973,0.02409638554216864
P04,0.7368421052631579,0.8333333333333333,0.7076923076923077,0.8333333333333333,0.7611336032388664,0.4571428571428572
P05,0.8333333333333334,0.875,0.8285714285714285,0.875,0.8380952380952381,0.6666666666666667
P06,0.7,0.7,0.696969696969697,0.7,0.696969696969697,0.4
P07,0.8095238095238095,0.8571428571428572,0.8055555555555556,0.8571428571428572,0.814814814814815,0.625
P08,0.9,0.9,0.898989898989899,0.9,0.898989898989899,0.8
P09,0.7,0.7857142857142857,0.696969696969697,0.7857142857142857,0.7090909090909091,0.44444444444444453
P10,0.8421052631578947,0.8444444444444444,0.8421052631578947,0.8444444444444444,0.8421052631578947,0.6850828729281768
P11,0.7,0.8125,0.6703296703296704,0.8125,0.7296703296703297,0.4
P12,0.5263157894736842,0.5277777777777778,0.5263157894736842,0.5277777777777778,0.5263157894736842,0.05524861878453047
P13,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143
P14,0.5263157894736842,0.5056818181818181,0.5043478260869565,0.5056818181818181,0.5208237986270023,0.011560693641618491
P15,0.7,0.7083333333333333,0.696969696969697,0.7083333333333333,0.7030303030303029,0.4
P16,0.45,0.5625,0.4373401534526854,0.5625,0.48797953964194374,0.06779661016949157
P17,0.6190476190476191,0.6442307692307692,0.6181818181818182,0.6442307692307692,0.6225108225108226,0.26315789473684215
P18,0.95,0.9444444444444444,0.948849104859335,0.9444444444444444,0.949616368286445,0.8979591836734694
P19,0.6,0.6190476190476191,0.5833333333333333,0.6190476190476191,0.6166666666666666,0.19999999999999996
P20,0.6666666666666666,0.6681818181818182,0.6666666666666666,0.6681818181818182,0.6666666666666666,0.33484162895927605
P21,0.65,0.625,0.6266666666666667,0.625,0.6453333333333333,0.25531914893617025
P22,0.2857142857142857,0.17647058823529413,0.2222222222222222,0.17647058823529413,0.35978835978835977,-0.38766519823788537
P23,0.6190476190476191,0.7894736842105263,0.5333333333333333,0.7894736842105263,0.6952380952380951,0.2075471698113207
P24,0.6666666666666666,0.6590909090909092,0.6541176470588235,0.6590909090909092,0.6572549019607843,0.32258064516129037
P25,0.9047619047619048,0.9285714285714286,0.8990384615384616,0.9285714285714286,0.907051282051282,0.8
P26,0.7272727272727273,0.6785714285714286,0.6857142857142857,0.6785714285714286,0.7168831168831169,0.37735849056603776
P27,0.6363636363636364,0.6607142857142857,0.6333333333333333,0.6607142857142857,0.6424242424242425,0.29032258064516137
P28,0.6086956521739131,0.6098484848484849,0.6086956521739131,0.6098484848484849,0.6086956521739131,0.21886792452830195
