subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.5714285714285714,0.55,0.5333333333333333,0.55,0.5904761904761905,0.08695652173913049
P02,0.47619047619047616,0.48611111111111116,0.47619047619047616,0.48611111111111116,0.47619047619047616,-0.02666666666666684
P03,0.5555555555555556,0.5584415584415584,0.55,0.5584415584415584,0.5611111111111111,0.11111111111111116
P04,0.5789473684210527,0.7333333333333334,0.5681818181818181,0.7333333333333334,0.6076555023923444,0.26923076923076916
P05,0.8888888888888888,0.9166666666666667,0.8831168831168831,0.9166666666666667,0.8917748917748918,0.7692307692307692
P06,0.65,0.6499999999999999,0.6491228070175439,0.6499999999999999,0.6491228070175439,0.30000000000000004
P07,0.7142857142857143,0.7142857142857143,0.6971153846153846,0.7142857142857143,0.7211538461538461,0.4
P08,0.9,0.9,0.898989898989899,0.9,0.898989898989899,0.8
P09,0.65,0.6547619047619048,0.6266666666666667,0.6547619047619048,0.664,0.27083333333333326
P10,0.8421052631578947,0.8388888888888889,0.8403361344537814,0.8388888888888889,0.8412206988058382,0.6815642458100559
P11,0.9,0.84375,0.84375,0.84375,0.9,0.6875
P12,0.42105263157894735,0.4222222222222222,0.42105263157894735,0.4222222222222222,0.42105263157894735,-0.1546961325966849
P13,0.8571428571428571,0.8571428571428572,0.8541666666666667,0.8571428571428572,0.8541666666666667,0.7142857142857143
P14,0.47368421052631576,0.4943181818181818,0.4722222222222222,0.4943181818181818,0.46783625730994155,-0.010638297872340274
P15,0.55,0.6041666666666666,0.5396419437340154,0.6041666666666666,0.5258312020460358,0.18181818181818177
P16,0.3,0.375,0.29292929292929293,0.375,0.3353535353535354,-0.12903225806451624
P17,0.8571428571428571,0.8846153846153846,0.8558352402745995,0.8846153846153846,0.8591042824452435,0.7174887892376681
P18,0.9,0.898989898989899,0.898989898989899,0.898989898989899,0.9,0.797979797979798
P19,0.35,0.2976190476190476,0.30666666666666664,0.2976190476190476,0.376,-0.35416666666666674
P20,0.7142857142857143,0.7136363636363636,0.7136363636363636,0.7136363636363636,0.7142857142857143,0.42727272727272725
P21,0.75,0.75,0.7442455242966752,0.75,0.751918158567775,0.4897959183673469
P22,0.38095238095238093,0.5220588235294118,0.37528604118993136,0.5220588235294118,0.4121172496458537,0.02150537634408589
P23,0.47619047619047616,0.7105263157894737,0.4296296296296296,0.7105263157894737,0.5615520282186949,0.12167300380228152
P24,0.6666666666666666,0.6545454545454545,0.6370370370370371,0.6545454545454545,0.6419753086419753,0.3162790697674418
P25,0.6190476190476191,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6190476190476191,0.1428571428571429
P26,0.6363636363636364,0.6875,0.6363636363636364,0.6875,0.6363636363636364,0.32307692307692304
P27,0.5454545454545454,0.5625,0.5416666666666667,0.5625,0.5530303030303031,0.11290322580645162
P28,0.4782608695652174,0.48484848484848486,0.46923076923076923,0.48484848484848486,0.46622073578595324,-0.029850746268656803
