subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.6666666666666666,0.5666666666666667,0.5689149560117301,0.5666666666666667,0.656891495601173,0.14035087719298245
P02,0.6666666666666666,0.6666666666666666,0.6636155606407322,0.6666666666666666,0.6681922196796338,0.3287671232876712
P03,0.5,0.43506493506493504,0.4109090909090909,0.43506493506493504,0.4618181818181818,-0.14084507042253525
P04,0.6842105263157895,0.7083333333333333,0.6346153846153846,0.7083333333333333,0.7125506072874493,0.30487804878048785
P05,0.8888888888888888,0.875,0.875,0.875,0.8888888888888888,0.75
P06,0.65,0.6499999999999999,0.6491228070175439,0.6499999999999999,0.6491228070175439,0.30000000000000004
P07,0.6190476190476191,0.6071428571428572,0.5961538461538461,0.6071428571428572,0.6282051282051282,0.19999999999999996
P08,0.8,0.8,0.797979797979798,0.8,0.7979797979797979,0.6
P09,0.45,0.5119047619047619,0.44862155388471175,0.5119047619047619,0.4596491228070175,0.017857142857142794
P10,0.5789473684210527,0.5833333333333333,0.5777777777777777,0.5833333333333333,0.5766081871345029,0.16483516483516492
P11,0.75,0.84375,0.7150997150997151,0.84375,0.7749287749287749,0.46808510638297873
P12,0.3157894736842105,0.31666666666666665,0.3157894736842105,0.31666666666666665,0.3157894736842105,-0.3646408839779005
P13,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143
P14,0.5789473684210527,0.6363636363636364,0.5476190476190476,0.6363636363636364,0.5288220551378446,0.2400000000000001
P15,0.6,0.6666666666666666,0.5833333333333333,0.6666666666666666,0.5666666666666667,0.2857142857142857
P16,0.55,0.625,0.52,0.625,0.592,0.15094339622641517
P17,0.5714285714285714,0.5817307692307692,0.5675057208237986,0.5817307692307692,0.5773128473357306,0.15246636771300448
P18,0.75,0.7525252525252526,0.7493734335839599,0.7525252525252526,0.7506265664160401,0.5
P19,0.3,0.21428571428571427,0.23076923076923078,0.21428571428571427,0.3230769230769231,-0.5217391304347827
P20,0.5238095238095238,0.5363636363636364,0.4951923076923077,0.5363636363636364,0.48946886446886445,0.07079646017699126
P21,0.6,0.6666666666666666,0.5833333333333333,0.6666666666666666,0.5666666666666667,0.2857142857142857
P22,0.38095238095238093,0.5220588235294118,0.37528604118993136,0.5220588235294118,0.4121172496458537,0.02150537634408589
P23,0.5238095238095238,0.7368421052631579,0.4642857142857143,0.7368421052631579,0.608843537414966,0.14634146341463417
P24,0.38095238095238093,0.36818181818181817,0.3259259259259259,0.36818181818181817,0.3350970017636684,-0.2697674418604652
P25,0.7142857142857143,0.7857142857142857,0.7136363636363636,0.7857142857142857,0.7181818181818181,0.47058823529411764
P26,0.7272727272727273,0.7857142857142857,0.7272727272727273,0.7857142857142857,0.7272727272727273,0.4923076923076922
P27,0.7272727272727273,0.7589285714285714,0.725,0.7589285714285714,0.7318181818181819,0.467741935483871
P28,0.7391304347826086,0.7348484848484849,0.7346153846153847,0.7348484848484849,0.7361204013377926,0.4732824427480916
