subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.5238095238095238,0.5166666666666666,0.4951923076923077,0.5166666666666666,0.5467032967032968,0.0277777777777779
P02,0.6190476190476191,0.6527777777777778,0.6111111111111112,0.6527777777777778,0.6031746031746033,0.28205128205128205
P03,0.6111111111111112,0.6038961038961039,0.6,0.6038961038961039,0.6148148148148148,0.20253164556962033
P04,0.5263157894736842,0.6083333333333334,0.5043478260869565,0.6083333333333334,0.5647597254004576,0.13197969543147203
P05,0.7777777777777778,0.7916666666666667,0.7662337662337663,0.7916666666666667,0.7835497835497836,0.5384615384615384
P06,0.5,0.5,0.4949494949494949,0.5,0.494949494949495,0.0
P07,0.6666666666666666,0.75,0.6666666666666666,0.75,0.6666666666666666,0.4
P08,0.85,0.85,0.8465473145780051,0.85,0.846547314578005,0.7
P09,0.6,0.5714285714285714,0.5604395604395604,0.5714285714285714,0.6131868131868131,0.13043478260869557
P10,0.6842105263157895,0.6722222222222223,0.6607142857142857,0.6722222222222223,0.6654135338345865,0.3522727272727273
P11,0.55,0.71875,0.5396419437340154,0.71875,0.581074168797954,0.23728813559322037
P12,0.3684210526315789,0.37222222222222223,0.3666666666666667,0.37222222222222223,0.3649122807017544,-0.25274725274725274
P13,1.0,1.0,1.0,1.0,1.0,1.0
P14,0.5263157894736842,0.5738636363636364,0.5043478260869565,0.5738636363636364,0.4878718535469108,0.13197969543147203
P15,0.55,0.625,0.52,0.625,0.4960000000000001,0.21052631578947356
P16,0.3,0.375,0.29292929292929293,0.375,0.3353535353535354,-0.12903225806451624
P17,0.7142857142857143,0.7692307692307692,0.7136363636363636,0.7692307692307692,0.7103896103896103,0.47058823529411764
P18,0.75,0.7626262626262625,0.7493734335839599,0.7626262626262625,0.7481203007518797,0.5098039215686274
P19,0.55,0.44047619047619047,0.4357366771159875,0.44047619047619047,0.5373040752351097,-0.125
P20,0.6190476190476191,0.6136363636363636,0.6111111111111112,0.6136363636363636,0.6137566137566137,0.22935779816513768
P21,0.7,0.6666666666666667,0.6703296703296704,0.6666666666666667,0.6901098901098901,0.34782608695652173
P22,0.19047619047619047,0.3088235294117647,0.19047619047619047,0.3088235294117647,0.19047619047619047,-0.1704918032786884
P23,0.47619047619047616,0.7105263157894737,0.4296296296296296,0.7105263157894737,0.5615520282186949,0.12167300380228152
P24,0.5714285714285714,0.5727272727272728,0.5714285714285714,0.5727272727272728,0.5714285714285714,0.14479638009049778
P25,0.6190476190476191,0.6428571428571428,0.6111111111111112,0.6428571428571428,0.6296296296296295,0.25
P26,0.5454545454545454,0.6160714285714286,0.5416666666666667,0.6160714285714286,0.5303030303030304,0.19117647058823528
P27,0.5,0.5803571428571428,0.4905263157894737,0.5803571428571428,0.4715789473684211,0.1294964028776978
P28,0.4782608695652174,0.49242424242424243,0.425,0.49242424242424243,0.41739130434782606,-0.014705882352941346
