subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.5238095238095238,0.4666666666666667,0.4642857142857143,0.4666666666666667,0.5408163265306123,-0.06060606060606055
P02,0.7142857142857143,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7142857142857143,0.41666666666666674
P03,0.2777777777777778,0.2792207792207792,0.27554179566563464,0.2792207792207792,0.2844857241142071,-0.4096385542168677
P04,0.21052631578947367,0.5,0.17391304347826086,0.5,0.07322654462242563,0.0
P05,0.7222222222222222,0.7916666666666667,0.7213622291021672,0.7916666666666667,0.7265221878224973,0.48275862068965514
P06,0.7,0.7,0.696969696969697,0.7,0.696969696969697,0.4
P07,0.7142857142857143,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.7142857142857143,0.3571428571428572
P08,0.6,0.6,0.5604395604395604,0.6,0.5604395604395604,0.19999999999999996
P09,0.4,0.5238095238095238,0.3939393939393939,0.5238095238095238,0.36969696969696964,0.03225806451612889
P10,0.6842105263157895,0.6666666666666666,0.6346153846153846,0.6666666666666666,0.6417004048582996,0.34482758620689646
P11,0.65,0.78125,0.6266666666666667,0.78125,0.6826666666666666,0.339622641509434
P12,0.47368421052631576,0.4833333333333333,0.4602272727272727,0.4833333333333333,0.45574162679425834,-0.032608695652173836
P13,0.9285714285714286,0.9285714285714286,0.9282051282051282,0.9285714285714286,0.9282051282051282,0.8571428571428572
P14,0.42105263157894735,0.4318181818181818,0.42105263157894735,0.4318181818181818,0.42105263157894735,-0.12972972972972974
P15,0.65,0.6458333333333333,0.6419437340153453,0.6458333333333333,0.6526854219948849,0.2857142857142858
P16,0.35,0.40625,0.3350383631713555,0.40625,0.3948849104859335,-0.10169491525423724
P17,0.6666666666666666,0.7067307692307692,0.6666666666666666,0.7067307692307692,0.6666666666666666,0.36909871244635195
P18,0.7,0.6666666666666666,0.6428571428571428,0.6666666666666666,0.6571428571428571,0.3548387096774194
P19,0.6,0.47619047619047616,0.4666666666666667,0.47619047619047616,0.5733333333333333,-0.05263157894736836
P20,0.5238095238095238,0.5318181818181817,0.5138888888888888,0.5318181818181817,0.5105820105820106,0.0625
P21,0.6,0.6458333333333334,0.595959595959596,0.6458333333333334,0.5878787878787879,0.2592592592592593
P22,0.7142857142857143,0.4411764705882353,0.4166666666666667,0.4411764705882353,0.6746031746031746,-0.1454545454545455
P23,0.5714285714285714,0.763157894736842,0.49867374005305043,0.763157894736842,0.6532777567260326,0.1746724890829695
P24,0.38095238095238093,0.36363636363636365,0.27586206896551724,0.36363636363636365,0.2889983579638752,-0.2816901408450705
P25,0.6666666666666666,0.75,0.6666666666666666,0.75,0.6666666666666666,0.4
P26,0.6818181818181818,0.6696428571428572,0.6644880174291938,0.6696428571428572,0.6852842146959794,0.33043478260869563
P27,0.3181818181818182,0.4375,0.2413793103448276,0.4375,0.1755485893416928,-0.0927152317880795
P28,0.6521739130434783,0.6515151515151515,0.6515151515151515,0.6515151515151515,0.6521739130434783,0.303030303030303
