,accuracy_mean,accuracy_std,balanced_accuracy_mean,macro_f1_mean,macro_f1_std,macro_recall_mean,weighted_f1_mean,cohen_kappa_mean,session_accuracy,session_balanced_accuracy,session_macro_f1,session_cohen_kappa,n_sessions
Baseline,0.4408185259402977,0.16203500873630486,0.5,0.296921369698245,0.08123570956085814,0.5,0.2877943124841056,0.0,0.4166666666666667,0.5,0.29411764705882354,0.0,84.0
RandomForest,0.6919896437876171,0.13808120625658296,0.7120020358161668,0.677467389874968,0.14793499176844938,0.7120020358161668,0.701710029397196,0.38346634411710934,0.7261904761904762,0.7244897959183674,0.7214131218457102,0.44354838709677424,84.0
LogisticRegression,0.6553529091409118,0.16105399702676856,0.6649313540132039,0.6360437338272936,0.1762789847431508,0.6649313540132039,0.6663567557111428,0.2979295053763809,0.6666666666666666,0.6734693877551021,0.664957264957265,0.33596837944664026,84.0
XGBoost,0.6769253915420964,0.1478667899448899,0.6960350342136609,0.6616366591696501,0.158699675573608,0.6960350342136609,0.6868371482497996,0.3542277390297223,0.7619047619047619,0.763265306122449,0.7584818861414606,0.5180722891566265,84.0
conformer_fusion,0.5845666950644067,0.15756945180052745,0.6199375188518542,0.5667790644202794,0.16228296547077553,0.6199375188518542,0.5834649313312195,0.21600159638882135,0.5833333333333334,0.6061224489795919,0.5828011919965943,0.1984732824427481,84.0
tiny_tcn_fusion,0.5868450004646475,0.13768618402927876,0.5958893290784599,0.5551607327601744,0.14095686291955817,0.5958893290784599,0.5825869720622798,0.17147928655531813,0.6309523809523809,0.610204081632653,0.6110530246452577,0.22499999999999998,84.0
bilstm_fusion,0.6322730822444783,0.17703439742662389,0.6549056232264714,0.618815435896692,0.17945224665017406,0.6549056232264714,0.6391982411392872,0.2870825661762643,0.5952380952380952,0.6,0.5931623931623932,0.19367588932806323,84.0
cnn1d_fusion,0.610543622136463,0.15002106025407888,0.6354843855251584,0.5876389780356591,0.16099750618533687,0.6354843855251584,0.6111378231921037,0.23033816400228338,0.6309523809523809,0.6346938775510205,0.6283716283716283,0.26190476190476186,84.0
multistream_fusion,0.5748717679291396,0.16263699483943983,0.5962806966732221,0.5365141414087616,0.1723686366044237,0.5962806966732221,0.5589221984998597,0.16654279939998742,0.6309523809523809,0.6265306122448979,0.6245133381398702,0.25,84.0
DANN_Conformer,0.6115705047014297,0.14886888791984298,0.6367577036335329,0.5816896435878304,0.15993559724634612,0.6367577036335329,0.6048170964627504,0.23062022291356607,0.6547619047619048,0.6836734693877551,0.653534347887925,0.34090909090909094,84.0
TSTCC,0.5751755223273695,0.19986163996233045,0.5888704715876044,0.5566886990756876,0.20456179942103178,0.5888704715876044,0.5805005716685728,0.16619119764872137,0.5952380952380952,0.5959183673469388,0.5915331807780321,0.1872509960159363,84.0
Ensemble,0.6738218534761524,0.15777280711966224,0.6973129073430379,0.6568916256407394,0.16819888034046293,0.6973129073430379,0.6799105695781359,0.35696192737503996,0.6785714285714286,0.6836734693877551,0.6763236763236764,0.3571428571428571,84.0
