subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.5714285714285714,0.5,0.49867374005305043,0.5,0.5805229253505116,0.0
P02,0.5714285714285714,0.5833333333333333,0.5714285714285714,0.5833333333333333,0.5714285714285714,0.15999999999999992
P03,0.6111111111111112,0.551948051948052,0.5418181818181818,0.551948051948052,0.5814141414141414,0.11267605633802824
P04,0.6842105263157895,0.8,0.6607142857142857,0.8,0.7124060150375939,0.3870967741935484
P05,0.6666666666666666,0.75,0.6666666666666666,0.75,0.6666666666666666,0.4
P06,0.45,0.44999999999999996,0.4373401534526854,0.44999999999999996,0.4373401534526854,-0.10000000000000009
P07,0.7142857142857143,0.6428571428571428,0.65,0.6428571428571428,0.7000000000000001,0.3076923076923076
P08,0.75,0.75,0.7493734335839599,0.75,0.7493734335839599,0.5
P09,0.45,0.5119047619047619,0.44862155388471175,0.5119047619047619,0.4596491228070175,0.017857142857142794
P10,0.6842105263157895,0.6888888888888889,0.6833333333333333,0.6888888888888889,0.6824561403508771,0.37362637362637363
P11,0.85,0.8125,0.7849462365591398,0.8125,0.8559139784946236,0.5714285714285714
P12,0.42105263157894735,0.4388888888888889,0.35692307692307695,0.4388888888888889,0.34623481781376525,-0.11764705882352944
P13,0.6428571428571429,0.6428571428571428,0.5906432748538011,0.6428571428571428,0.5906432748538012,0.2857142857142857
P14,0.42105263157894735,0.4147727272727273,0.4145658263305322,0.4147727272727273,0.4242960342031549,-0.16759776536312865
P15,0.6,0.6666666666666666,0.5833333333333333,0.6666666666666666,0.5666666666666667,0.2857142857142857
P16,0.3,0.375,0.29292929292929293,0.375,0.3353535353535354,-0.12903225806451624
P17,0.6666666666666666,0.6105769230769231,0.6100795755968169,0.6105769230769231,0.645446507515473,0.23834196891191706
P18,0.55,0.5303030303030303,0.52,0.5303030303030303,0.532,0.0625
P19,0.35,0.2976190476190476,0.30666666666666664,0.2976190476190476,0.376,-0.35416666666666674
P20,0.6666666666666666,0.6636363636363636,0.6636155606407322,0.6636363636363636,0.6651411136536994,0.3287671232876712
P21,0.55,0.6041666666666666,0.5396419437340154,0.6041666666666666,0.5258312020460358,0.18181818181818177
P22,0.38095238095238093,0.33088235294117646,0.3259259259259259,0.33088235294117646,0.4451499118165785,-0.20264317180616742
P23,0.6190476190476191,0.7894736842105263,0.5333333333333333,0.7894736842105263,0.6952380952380951,0.2075471698113207
P24,0.47619047619047616,0.4590909090909091,0.38726790450928383,0.4590909090909091,0.3983832259694329,-0.08450704225352124
P25,0.8095238095238095,0.8571428571428572,0.8055555555555556,0.8571428571428572,0.814814814814815,0.625
P26,0.7727272727272727,0.7142857142857143,0.7270471464019852,0.7142857142857143,0.7575005639521769,0.46601941747572817
P27,0.6363636363636364,0.6875,0.6363636363636364,0.6875,0.6363636363636364,0.32307692307692304
P28,0.5652173913043478,0.5606060606060606,0.5576923076923077,0.5606060606060606,0.5602006688963211,0.12213740458015276
