subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.19047619047619047,0.32894736842105265,0.18306636155606407,0.32894736842105265,0.24604990737713847,-0.0785498489425982
P02,0.8333333333333334,0.9117647058823529,0.6516129032258065,0.9117647058823529,0.875268817204301,0.3414634146341463
P03,0.85,0.4722222222222222,0.4594594594594595,0.4722222222222222,0.827027027027027,-0.0714285714285714
P04,0.9,0.9473684210526316,0.7222222222222222,0.9473684210526316,0.9222222222222222,0.45945945945945954
P05,0.5263157894736842,0.35714285714285715,0.3448275862068966,0.35714285714285715,0.5081669691470054,-0.30534351145038174
P06,0.5,0.5625,0.4269005847953216,0.5625,0.3976608187134503,0.10909090909090913
P07,0.6,0.46875,0.4666666666666667,0.46875,0.6266666666666667,-0.05263157894736836
P08,0.55,0.4230769230769231,0.3548387096774194,0.4230769230769231,0.4612903225806452,-0.1842105263157896
P09,0.8571428571428571,0.45,0.46153846153846156,0.45,0.8791208791208792,-0.06779661016949157
P10,0.7,0.8333333333333333,0.6000000000000001,0.8333333333333333,0.76,0.2857142857142857
P11,0.8,0.5,0.4444444444444444,0.5,0.711111111111111,0.0
P12,0.8095238095238095,0.6,0.611111111111111,0.6,0.7566137566137565,0.27586206896551724
P13,0.95,0.5,0.48717948717948717,0.5,0.9256410256410256,0.0
P14,0.7619047619047619,0.4,0.43243243243243246,0.4,0.8236808236808237,-0.08247422680412386
P15,0.6190476190476191,0.5,0.38235294117647056,0.5,0.4733893557422969,0.0
P16,0.7619047619047619,0.5,0.43243243243243246,0.5,0.658944658944659,0.0
P17,0.8095238095238095,0.425,0.4473684210526316,0.425,0.8521303258145364,-0.07692307692307687
P18,0.8095238095238095,0.6,0.611111111111111,0.6,0.7566137566137565,0.27586206896551724
P19,0.6363636363636364,0.3333333333333333,0.3888888888888889,0.3333333333333333,0.7424242424242423,-0.08641975308641969
P20,0.9130434782608695,0.5,0.4772727272727273,0.5,0.8715415019762847,0.0
