subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.09523809523809523,0.5,0.08695652173913043,0.5,0.016563146997929608,0.0
P05,0.8888888888888888,0.9411764705882353,0.71875,0.9411764705882353,0.9131944444444444,0.4545454545454546
P06,0.9,0.5,0.47368421052631576,0.5,0.8526315789473683,0.0
P08,0.95,0.5,0.48717948717948717,0.5,0.9256410256410256,0.0
P12,0.631578947368421,0.42857142857142855,0.3870967741935484,0.42857142857142855,0.5704584040747028,-0.17699115044247793
P13,0.42857142857142855,0.5,0.3,0.5,0.2571428571428571,0.0
P15,0.8,0.5,0.4444444444444444,0.5,0.711111111111111,0.0
P16,0.65,0.5,0.3939393939393939,0.5,0.5121212121212121,0.0
P17,0.9523809523809523,0.5,0.4878048780487805,0.5,0.9291521486643438,0.0
P18,0.9,0.5,0.47368421052631576,0.5,0.8526315789473683,0.0
P19,0.8,0.5,0.4444444444444444,0.5,0.711111111111111,0.0
P20,0.8095238095238095,0.6,0.611111111111111,0.6,0.7566137566137565,0.27586206896551724
P21,0.95,0.5,0.48717948717948717,0.5,0.9256410256410256,0.0
P22,0.9523809523809523,0.5,0.4878048780487805,0.5,0.9291521486643438,0.0
P23,0.6190476190476191,0.5,0.38235294117647056,0.5,0.4733893557422969,0.0
P24,0.7619047619047619,0.5,0.43243243243243246,0.5,0.658944658944659,0.0
P25,0.9523809523809523,0.5,0.4878048780487805,0.5,0.9291521486643438,0.0
P26,0.7142857142857143,0.46875,0.4166666666666667,0.46875,0.634920634920635,-0.0862068965517242
P27,0.9545454545454546,0.5,0.4883720930232558,0.5,0.9323467230443974,0.0
P31,0.9130434782608695,0.5,0.4772727272727273,0.5,0.8715415019762847,0.0
