subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.3333333333333333,0.631578947368421,0.3194444444444444,0.631578947368421,0.39814814814814814,0.06369426751592355
P02,0.6666666666666666,0.8235294117647058,0.5178571428571428,0.8235294117647058,0.7559523809523809,0.16923076923076918
P03,0.6,0.3333333333333333,0.375,0.3333333333333333,0.675,-0.17647058823529393
P04,0.8,0.8947368421052632,0.6078431372549019,0.8947368421052632,0.8549019607843137,0.2727272727272727
P05,0.42105263157894735,0.2857142857142857,0.2962962962962963,0.2857142857142857,0.43664717348927873,-0.4026845637583891
P06,0.42857142857142855,0.4583333333333333,0.41666666666666663,0.4583333333333333,0.4047619047619047,-0.07692307692307687
P07,0.7,0.53125,0.53125,0.53125,0.7,0.0625
P08,0.4,0.3076923076923077,0.2857142857142857,0.3076923076923077,0.3714285714285714,-0.41176470588235303
P09,0.6190476190476191,0.8,0.475,0.8,0.7238095238095238,0.125
P10,0.7,0.3888888888888889,0.4117647058823529,0.3888888888888889,0.7411764705882352,-0.15384615384615374
P11,0.7,0.53125,0.53125,0.53125,0.7,0.0625
P12,0.7142857142857143,0.675,0.65,0.675,0.7285714285714286,0.3076923076923076
P13,0.7,0.8421052631578947,0.53125,0.8421052631578947,0.784375,0.17808219178082196
P14,0.8571428571428571,0.925,0.6594594594594595,0.925,0.8942084942084941,0.35051546391752575
P15,0.38095238095238093,0.3076923076923077,0.27586206896551724,0.3076923076923077,0.3415435139573071,-0.41450777202072553
P16,0.5238095238095238,0.4125,0.41666666666666663,0.4125,0.5476190476190477,-0.15384615384615397
P17,0.6666666666666666,0.35,0.4,0.35,0.7619047619047619,-0.0888888888888888
P18,0.7142857142857143,0.60625,0.60625,0.60625,0.7142857142857143,0.2124999999999999
P19,0.7272727272727273,0.38095238095238093,0.42105263157894735,0.38095238095238093,0.8038277511961721,-0.08196721311475419
P20,0.6521739130434783,0.5833333333333333,0.48888888888888893,0.5833333333333333,0.7275362318840578,0.07070707070707061
