subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.14285714285714285,0.5263157894736842,0.14090909090909093,0.5263157894736842,0.1077922077922078,0.010471204188481686
P02,1.0,1.0,1.0,1.0,1.0,1.0
P03,0.9,0.5,0.47368421052631576,0.5,0.8526315789473683,0.0
P04,1.0,1.0,1.0,1.0,1.0,1.0
P05,0.7368421052631579,0.5,0.42424242424242425,0.5,0.6251993620414673,0.0
P06,0.42857142857142855,0.5,0.3,0.5,0.2571428571428571,0.0
P07,0.8,0.5,0.4444444444444444,0.5,0.711111111111111,0.0
P08,0.7,0.5714285714285714,0.53125,0.5714285714285714,0.615625,0.17808219178082196
P09,0.9523809523809523,0.5,0.4878048780487805,0.5,0.9291521486643438,0.0
P10,0.9,0.5,0.47368421052631576,0.5,0.8526315789473683,0.0
P11,0.8,0.5,0.4444444444444444,0.5,0.711111111111111,0.0
P12,0.7619047619047619,0.5,0.43243243243243246,0.5,0.658944658944659,0.0
P13,0.95,0.5,0.48717948717948717,0.5,0.9256410256410256,0.0
P14,0.9523809523809523,0.5,0.4878048780487805,0.5,0.9291521486643438,0.0
P15,0.6190476190476191,0.5,0.38235294117647056,0.5,0.4733893557422969,0.0
P16,0.7619047619047619,0.5,0.43243243243243246,0.5,0.658944658944659,0.0
P17,0.9523809523809523,0.5,0.4878048780487805,0.5,0.9291521486643438,0.0
P18,0.7619047619047619,0.5,0.43243243243243246,0.5,0.658944658944659,0.0
P19,0.9545454545454546,0.5,0.4883720930232558,0.5,0.9323467230443974,0.0
P20,0.9130434782608695,0.5,0.4772727272727273,0.5,0.8715415019762847,0.0
