subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.2857142857142857,0.6052631578947368,0.2791762013729977,0.6052631578947368,0.33474991827394573,0.048338368580060465
P02,0.6111111111111112,0.7941176470588236,0.48148148148148145,0.7941176470588236,0.7119341563786007,0.136986301369863
P03,0.8,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.8,-0.11111111111111116
P04,0.85,0.9210526315789473,0.6571428571428571,0.9210526315789473,0.8885714285714285,0.34782608695652173
P05,0.42105263157894735,0.35,0.35692307692307695,0.35,0.4531174089068826,-0.25149700598802394
P06,0.5714285714285714,0.625,0.5333333333333333,0.625,0.5142857142857143,0.2222222222222221
P07,0.75,0.65625,0.6415770609318996,0.65625,0.7598566308243727,0.2857142857142857
P08,0.55,0.4230769230769231,0.3548387096774194,0.4230769230769231,0.4612903225806452,-0.1842105263157896
P09,0.6190476190476191,0.325,0.38235294117647056,0.325,0.7282913165266106,-0.09090909090909083
P10,0.9,0.5,0.47368421052631576,0.5,0.8526315789473683,0.0
P11,0.85,0.625,0.6571428571428571,0.625,0.8114285714285714,0.34782608695652173
P12,0.8095238095238095,0.6,0.611111111111111,0.6,0.7566137566137565,0.27586206896551724
P13,0.8,0.42105263157894735,0.4444444444444444,0.42105263157894735,0.8444444444444444,-0.08108108108108092
P14,0.8095238095238095,0.425,0.4473684210526316,0.425,0.8521303258145364,-0.07692307692307687
P15,0.6666666666666666,0.5625,0.505050505050505,0.5625,0.5723905723905724,0.1502890173410404
P16,0.6666666666666666,0.4375,0.4,0.4375,0.6095238095238096,-0.15748031496062986
P17,0.9523809523809523,0.975,0.8205128205128205,0.975,0.9597069597069596,0.6440677966101694
P18,0.8095238095238095,0.7375,0.7375,0.7375,0.8095238095238095,0.475
P19,0.7727272727272727,0.40476190476190477,0.4358974358974359,0.40476190476190477,0.8321678321678321,-0.07843137254901955
P20,0.9130434782608695,0.5,0.4772727272727273,0.5,0.8715415019762847,0.0
