subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.19047619047619047,0.5526315789473684,0.19047619047619047,0.5526315789473684,0.19047619047619047,0.021917808219177992
P02,0.7222222222222222,0.8529411764705883,0.5566502463054187,0.8529411764705883,0.7974822112753147,0.21052631578947378
P03,0.9,0.5,0.47368421052631576,0.5,0.8526315789473683,0.0
P04,0.8,0.8947368421052632,0.6078431372549019,0.8947368421052632,0.8549019607843137,0.2727272727272727
P05,0.5789473684210527,0.39285714285714285,0.36666666666666664,0.39285714285714285,0.5403508771929824,-0.24590163934426235
P06,0.42857142857142855,0.5,0.3,0.5,0.2571428571428571,0.0
P07,0.8,0.5,0.4444444444444444,0.5,0.711111111111111,0.0
P08,0.65,0.5,0.3939393939393939,0.5,0.5121212121212121,0.0
P09,0.9523809523809523,0.5,0.4878048780487805,0.5,0.9291521486643438,0.0
P10,0.9,0.5,0.47368421052631576,0.5,0.8526315789473683,0.0
P11,0.8,0.5,0.4444444444444444,0.5,0.711111111111111,0.0
P12,0.8095238095238095,0.6,0.611111111111111,0.6,0.7566137566137565,0.27586206896551724
P13,0.9,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.9,-0.05263157894736836
P14,0.9523809523809523,0.5,0.4878048780487805,0.5,0.9291521486643438,0.0
P15,0.6190476190476191,0.5,0.38235294117647056,0.5,0.4733893557422969,0.0
P16,0.7619047619047619,0.5,0.43243243243243246,0.5,0.658944658944659,0.0
P17,0.9523809523809523,0.5,0.4878048780487805,0.5,0.9291521486643438,0.0
P18,0.7619047619047619,0.5,0.43243243243243246,0.5,0.658944658944659,0.0
P19,0.9090909090909091,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9090909090909091,-0.04761904761904767
P20,0.9130434782608695,0.5,0.4772727272727273,0.5,0.8715415019762847,0.0
