subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.3333333333333333,0.631578947368421,0.3194444444444444,0.631578947368421,0.39814814814814814,0.06369426751592355
P02,0.7777777777777778,0.4117647058823529,0.4375,0.4117647058823529,0.8263888888888888,-0.09090909090909083
P03,0.85,0.4722222222222222,0.4594594594594595,0.4722222222222222,0.827027027027027,-0.0714285714285714
P04,0.95,0.5,0.48717948717948717,0.5,0.9256410256410256,0.0
P05,0.42105263157894735,0.2857142857142857,0.2962962962962963,0.2857142857142857,0.43664717348927873,-0.4026845637583891
P06,0.42857142857142855,0.5,0.3,0.5,0.2571428571428571,0.0
P07,0.5,0.3125,0.3333333333333333,0.3125,0.5333333333333333,-0.3157894736842106
P08,0.6,0.46153846153846156,0.375,0.46153846153846156,0.4875,-0.09589041095890405
P09,0.9047619047619048,0.475,0.475,0.475,0.9047619047619048,-0.050000000000000044
P10,0.95,0.9722222222222222,0.8857142857142857,0.9722222222222222,0.9542857142857143,0.7727272727272727
P11,0.85,0.625,0.6571428571428571,0.625,0.8114285714285714,0.34782608695652173
P12,0.6666666666666666,0.4375,0.4,0.4375,0.6095238095238096,-0.15748031496062986
P13,0.85,0.4473684210526316,0.4594594594594595,0.4473684210526316,0.8729729729729729,-0.0714285714285714
P14,0.8095238095238095,0.425,0.4473684210526316,0.425,0.8521303258145364,-0.07692307692307687
P15,0.6190476190476191,0.5,0.38235294117647056,0.5,0.4733893557422969,0.0
P16,0.7142857142857143,0.46875,0.4166666666666667,0.46875,0.634920634920635,-0.0862068965517242
P17,1.0,1.0,1.0,1.0,1.0,1.0
P18,0.7142857142857143,0.46875,0.4166666666666667,0.46875,0.634920634920635,-0.0862068965517242
P19,0.9090909090909091,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9090909090909091,-0.04761904761904767
P20,0.9130434782608695,0.5,0.4772727272727273,0.5,0.8715415019762847,0.0
