subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
P01,0.14285714285714285,0.5263157894736842,0.14090909090909093,0.5263157894736842,0.1077922077922078,0.010471204188481686
P02,0.7222222222222222,0.8529411764705883,0.5566502463054187,0.8529411764705883,0.7974822112753147,0.21052631578947378
P03,0.9,0.5,0.47368421052631576,0.5,0.8526315789473683,0.0
P04,0.5,0.2631578947368421,0.3333333333333333,0.2631578947368421,0.6333333333333333,-0.09890109890109877
P05,0.7368421052631579,0.5,0.42424242424242425,0.5,0.6251993620414673,0.0
P06,0.5,0.5625,0.4269005847953216,0.5625,0.3976608187134503,0.10909090909090913
P07,0.8,0.5,0.4444444444444444,0.5,0.711111111111111,0.0
P08,0.65,0.5,0.3939393939393939,0.5,0.5121212121212121,0.0
P09,0.9523809523809523,0.5,0.4878048780487805,0.5,0.9291521486643438,0.0
P10,0.8,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.8,-0.11111111111111116
P11,0.8,0.5,0.4444444444444444,0.5,0.711111111111111,0.0
P12,0.7619047619047619,0.5,0.43243243243243246,0.5,0.658944658944659,0.0
P13,0.95,0.5,0.48717948717948717,0.5,0.9256410256410256,0.0
P14,0.5714285714285714,0.3,0.36363636363636365,0.3,0.6926406926406927,-0.09248554913294815
P15,0.6190476190476191,0.5,0.38235294117647056,0.5,0.4733893557422969,0.0
P16,0.7619047619047619,0.5,0.43243243243243246,0.5,0.658944658944659,0.0
P17,0.7142857142857143,0.375,0.4166666666666667,0.375,0.7936507936507937,-0.0862068965517242
P18,0.7142857142857143,0.5375,0.5367647058823529,0.5375,0.6869747899159664,0.08695652173913038
P19,0.9545454545454546,0.5,0.4883720930232558,0.5,0.9323467230443974,0.0
P20,0.8695652173913043,0.47619047619047616,0.46511627906976744,0.47619047619047616,0.8493427704752274,-0.06153846153846154
